"","x"
"Abenaki",1.60741138455787
"Bella Coola",2.95870376557737
"Central Salish",3.01724392256471
"Cree",1.64723759792125
"global",3.14625704714912
"Haida",2.91494785250521
"Inuit-Inupiaq",3.23994399355766
"Kwakiutl",2.95870376557737
"Micmac",3.46740266282287
"Montagnais-Naskapi",1.72212817202809
"Nootkan",3.68520969538384
"Tlingit",3.0360582070966
"Tsimshian",2.95916167193722
"Wampanoag",2.82764276203726
"Yupik",2.75781862833551
