"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"16","Alosa sapidissima","Shads",1.30797837810506,62,3.19,14.4,NA,NA,0.94,0.3792,55,NA,NA,0.0065,2.959000111,"freshwater","Finfish",45.993164,NA,3.48,0.32,3.60999989509582,0.56,1584
"17","Aluterus monoceros","Miscellaneous coastal fishes",NA,76.2,3.5,NA,0.3231,1.09136,NA,NA,NA,3.59,NA,NA,NA,"marine","Finfish",23.372169,NA,3.84,NA,2.93,0.39,4274
"18","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"19","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"20","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"21","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"22","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"23","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"24","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"25","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"26","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
"27","Amblypharyngodon mola","Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,"freshwater","Finfish",24.4333,NA,NA,NA,NA,NA,24301
