"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"892","Tilapia zillii","Tilapias and other cichlids",1.05194383886976,40,2,NA,0.01887,0.04401,NA,NA,NA,NA,NA,0.01905,2.96,"freshwater","Finfish",1.433393,NA,2.51,0.063,2.52,0.27,1390
"893","Tilapia zillii","Tilapias and other cichlids",1.05194383886976,40,2,NA,0.01242,NA,NA,NA,NA,NA,NA,0.01905,2.96,"freshwater","Finfish",1.504705,NA,2.51,0.063,2.52,0.27,1390
"894","Tilapia zillii","Tilapias and other cichlids",1.05194383886976,40,2,NA,NA,NA,NA,NA,NA,NA,NA,0.01905,2.96,"freshwater","Finfish",7.971943,NA,2.51,0.063,2.52,0.27,1390
"895","Tilapia zillii","Tilapias and other cichlids",1.05194383886976,40,2,NA,NA,NA,NA,NA,NA,NA,NA,0.01905,2.96,"freshwater","Finfish",7.971943,NA,2.51,0.063,2.52,0.27,1390
"896","Tilapia zillii","Tilapias and other cichlids",1.05194383886976,40,2,NA,NA,NA,NA,NA,NA,NA,138,0.01905,2.96,"freshwater","Finfish",6.524379,NA,2.51,0.063,2.52,0.27,1390
"897","Tinca tinca","Carps, barbels and other cyprinids",7.42625670578443,70,3.5,60,NA,NA,0.8,1.1,74,NA,138,0.01906,3.03,"freshwater","Finfish",41.53,NA,3.69,NA,3.27,0.46,269
"898","Tinca tinca","Carps, barbels and other cyprinids",7.42625670578443,70,3.5,66,NA,NA,0.9,1.1,18,NA,138,0.01906,3.03,"freshwater","Finfish",41.53,NA,3.69,NA,3.27,0.46,269
"899","Tinca tinca","Carps, barbels and other cyprinids",7.42625670578443,70,3.5,NA,0.037115923,0.07158984,NA,NA,NA,0.61,NA,0.01906,3.03,"freshwater","Finfish",37,NA,3.69,NA,3.27,0.46,269
"900","Trachinotus blochii","Miscellaneous pelagic fishes",12.9003759861407,102,3.74,NA,NA,NA,NA,NA,NA,NA,163,0.088,2.572000027,"marine","Finfish",3.144341,NA,NA,NA,3.74,0.46,1963
"901","Trachinotus ovatus","Miscellaneous pelagic fishes",2.39629546096595,70,3.73,NA,0.02980616,0.28254396,NA,NA,NA,1.8,NA,0.022,2.730000019,"marine","Finfish",37.370157,NA,NA,NA,3.73,0.58,1773
