ntbl.nfb.species,fishbase.names
Abramis spp,Abramis brama
Ageneiosus brevifilis,Ageneiosus inermis
Alectis alexandrinus,Alectis alexandrina
Alepocephalus spp,Alepocephalus australis
Ambassidae,Parambassis wolffii
Arius spp,Arius arius
Aspitrigla cuculus,Chelidonichthys cuculus
Aspius aspius,Leuciscus aspius
Atherinidae,Atherina hepsetus
Balistidae,Balistes vetula
Barbonymus goniontus,Barbonymus gonionotus
Bothus podus,Bothus podas
Branchiostegidae,Branchiostegus semifasciatus
Brevoortia spp,Brevoortia patronus
Catostomus commersoni,Catostomus commersonii
Characidae,Charax gibbosus
Chelidonichthyus lucernus,Chelidonichthys lucerna
Clupea pallasi,Clupea pallasii pallasii
Colisa fasciatus,Trichogaster fasciata
Colisa lalius,Trichogaster lalius
Coregonus spp,Coregonus lavaretus
Cyprinidae,Cyprinus carpio
Deania calceus,Deania calcea
Dentex spp,Dentex dentex
Diplodus sargus,Diplodus sargus sargus
Etrumeus teres,Etrumeus sadina
Gymnura spp,Mugil cephalus
Helicolenus dacthlopterus,Helicolenus dactylopterus
Helostoma temminckii,Helostoma temminkii
Hemiramphidae,Hyporhamphus unifasciatus
Hemiramphus spp,Hemiramphus brasiliensis
Hippoglossus hippoglossus,Hippoglossus hippoglossus
Hypomesus pretious,Hypomesus pretiosus
Lagocepahlus lagocephalus,Lagocephalus lagocephalus
Leuciscus cephalus,Squalius cephalus
Liza spp,Liza aurata
Micorpogonias furnieri,Micropogonias furnieri
Mullus barbatus,Mullus barbatus barbatus
Mystus spp,Mystus mysticetus
Mastacembelus pancalus,Mastacembelus armatus
Lepidocephalus guntea,Lepidocephalichthys guntea
Notopterus spp,Notopterus notopterus
Notothenia gibberifrons,Gobionotothen gibberifrons
Oncorhynchus gorbusha,Oncorhynchus gorbuscha
Tilapia spp,Oreochromis niloticus
Osteochilus hasselti,Osteochilus vittatus
Pagelius erythrinus,Pagellus erythrinus
Pagrus caeruleocinctus,Pagrus pagrus
Pampus spp,Pampus argenteus
Pangasius hypophthalamus,Pangasianodon hypophthalmus
Perca Fluviatilis,Perca fluviatilis
Pleuronectes vetulus,Parophrys vetulus
Protopterus spp,Protopterus annectens
Psetta maxima,Scophthalmus maximus
Pseudoplatystoma coruscans,Pseudoplatystoma corruscans
Puntius spp,Puntius semifasciolatus
Puntius ticto,Pethia ticto
Sardinella spp,Sardinella gibbosa
Scomber spp,Scomber scombrus
Scomper spp,Scomber scombrus
Scophthalmidae,Scophthalmus rhombus
Scorpaena porcus,Scorpaena porcus
Sebastes marinus,Sebastes norvegicus
Solea lascaris,Pegusa lascaris
Soleidae,Solea solea
Spicara spp,Sparus aurata
Synodontidae,Synodus synodus
Synodontis spp,Synodontis multipunctatus
Triakidae,Triakis scyllium
Trichogaster spp,Trichogaster chuna
