species,taxon,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,lwA,lwB,Habitat,Subgroup,Abs_lat,max_size
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,NA,NA,NA,NA,NA,NA,0.00871,3.14,marine,Finfish,53.875369,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,11.6,NA,NA,0.17,0.39294,NA,0.00871,3.14,freshwater,Finfish,54.084241,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,53,NA,NA,0.6,1,60,0.00871,3.14,freshwater,Finfish,41.53,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,20.92,NA,NA,0.21,0.373252,NA,0.00871,3.14,freshwater,Finfish,54.00394,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,11.46,NA,NA,0.18,0.372708,NA,0.00871,3.14,freshwater,Finfish,54.117096,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,12.11,NA,NA,0.19,0.36618,NA,0.00871,3.14,freshwater,Finfish,54.117096,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,52,NA,NA,0.7,0.9,24,0.00871,3.14,freshwater,Finfish,41.53,8.90007469420244
Abramis brama,"Carps, barbels and other cyprinids",82,2.9,NA,0.09322,0.12087,NA,NA,NA,0.00871,3.14,freshwater,Finfish,41.53,8.90007469420244
Abramis spp,"Carps, barbels and other cyprinids",82,2.9,NA,NA,NA,NA,NA,NA,0.00871,3.14,marine,Finfish,61.92411,8.90007469420244
Ageneiosus brevifilis, Miscellaneous freshwater fishes,59,4,NA,0.001647504,0.021005676,NA,NA,NA,0.0055,3.19,freshwater,Finfish,19.427757,2.45121049059286
Albatrossia pectoralis,"Cods, hakes, haddocks",210,4.3,NA,0.018676001,0.033661436,NA,NA,NA,0.00102,3.25,marine,Finfish,57.79,35.9594366751993
Alectis alexandrinus, Miscellaneous pelagic fishes,70,3.6,NA,0.071736104,0.10450176,NA,NA,NA,NA,NA,marine,Finfish,37.370157,NA
Alepocephalus bairdii,Miscellaneous demersal fishes,100,3.7,NA,NA,NA,NA,NA,NA,0.00513,3.06,marine,Finfish,57.596278,6.76265706879437
Alepocephalus spp,Miscellaneous demersal fishes,79,3.4,NA,NA,NA,NA,NA,NA,0.00724,3.06,marine,Finfish,71.706936,4.63956715804349
Alosa alosa, Shads,68,3.62,NA,0.670366968,1.859680295,NA,NA,NA,0.0096,2.980999947,marine,Finfish,42.163403,2.78599417907132
Alosa sapidissima, Shads,62,3.19,14.4,NA,NA,0.94,0.3792,54,0.0065,2.959000111,freshwater,Finfish,45.993164,1.30797837810506
Aluterus monoceros, Miscellaneous coastal fishes,76.2,3.5,NA,0.3231,1.09136,NA,NA,NA,NA,NA,marine,Finfish,23.372169,NA
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Ambassidae, Miscellaneous coastal fishes,8,3.3,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,0.0102199229734787
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
Amblypharyngodon mola,"Carps, barbels and other cyprinids",20,2.9,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,0.108917054665815
