"species"	"taxon"	"max_length"	"TL"	"CA_mg"	"EPA_g"	"DHA_g"	"ZN_mg"	"HG_mcg"	"lwA"	"lwB"	"Habitat"	"Subgroup"	"Abs_lat"	"max_size"
"1"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	11.6	NA	NA	0.39294	NA	0.00871	3.14	"freshwater"	"Finfish"	54.084241	8.90007469420244
"2"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	53	NA	NA	1	"6"	0.00871	3.14	"freshwater"	"Finfish"	41.53	8.90007469420244
"3"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	20.92	NA	NA	0.373252	NA	0.00871	3.14	"freshwater"	"Finfish"	54.00394	8.90007469420244
"4"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	11.46	NA	NA	0.372708	NA	0.00871	3.14	"freshwater"	"Finfish"	54.117096	8.90007469420244
"5"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	12.11	NA	NA	0.36618	NA	0.00871	3.14	"freshwater"	"Finfish"	54.117096	8.90007469420244
"6"	"Abramis brama"	"Carps, barbels and other cyprinids"	82	2.9	52	NA	NA	0.9	"14"	0.00871	3.14	"freshwater"	"Finfish"	41.53	8.90007469420244
"7"	"Alosa sapidissima"	" Shads"	62	3.19	14.4	NA	NA	0.3792	"5.1"	0.0065	2.959000111	"freshwater"	"Finfish"	45.993164	1.30797837810506
"8"	"Anarhichas lupus"	"Miscellaneous demersal fishes"	150	3.2	6.8	NA	NA	0.78	"14.3"	0.00347	3.22	"marine"	"Finfish"	63.968654	35.2649545901455
"9"	"Aphanopus carbo"	"Miscellaneous demersal fishes"	110	4.5	14	0.0479	0.1395	0.5	NA	0.000201	3.391000032	"marine"	"Finfish"	38.444217	1.6809651826542
"10"	"Aphanopus carbo"	"Miscellaneous demersal fishes"	110	4.5	11.9	0.0424763	0.12370675	0.27	NA	0.000201	3.391000032	"marine"	"Finfish"	38.444217	1.6809651826542
"11"	"Arctica islandica"	" Clams, cockles, arkshells"	11	2	62.9	NA	NA	0.84	"1.7"	0.023009	2.632	"marine"	"Molluscs"	63.968654	0.0126719453545065
"12"	"Brama japonica"	" Miscellaneous pelagic fishes"	61	4.4	8.8	NA	NA	0.3635	"11.4"	0.01905	2.94	"marine"	"Finfish"	57	3.37881718937371
