Order,Family,Species,Occurrence,FishBase name,Name
Cypriniformes,Cyprinidae,Aaptosyax grypus,native ,Giant salmon carp ,
Cypriniformes,Cobitidae,Acanthopsoides delphax,native ,,
Cypriniformes,Cobitidae,Acanthopsoides gracilis,native ,,
Cypriniformes,Cobitidae,Acanthopsoides hapalias,native ,,
Cypriniformes,Cobitidae,Acantopsis dialuzona,native ,,Trey ruschék 
Perciformes,Gobiidae,Acentrogobius caninus,native ,Tropical sand goby ,
Perciformes,Gobiidae,Acentrogobius chlorostigmatoides,native ,Greenspot goby ,
Pleuronectiformes,Soleidae,Achiroides leucorhynchos,native ,,Trey andat chhke 
Pleuronectiformes,Soleidae,Achiroides melanorhynchus,native ,,Trey andat chhke 
Siluriformes,Akysidae,Akysis clinatus,native ,,
Siluriformes,Akysidae,Akysis ephippifer,native ,,
Siluriformes,Akysidae,Akysis fuliginatus,native ,,
Siluriformes,Akysidae,Akysis maculipinnis,native ,,
Siluriformes,Akysidae,Akysis varius,native ,,
Cypriniformes,Cyprinidae,Albulichthys albuloides,native ,,Chhkok tituy 
Perciformes,Ambassidae,Ambassis gymnocephalus,native ,Bald glassy ,
Cypriniformes,Cobitidae,Ambastaia sidthimunki,native ,Dwarf botia ,
Siluriformes,Amblycipitidae,Amblyceps foratum,native ,,
Siluriformes,Amblycipitidae,Amblyceps mangois,native ,Indian torrent catfish ,
Siluriformes,Amblycipitidae,Amblyceps serratum,native ,,
Cypriniformes,Cyprinidae,Amblypharyngodon chulabhornae,native ,,
Cypriniformes,Cyprinidae,Amblyrhynchichthys micracanthus,native ,,
Cypriniformes,Cyprinidae,Amblyrhynchichthys truncatus,native ,,Kambut chramos 
Perciformes,Anabantidae,Anabas testudineus,native ,Climbing perch ,Kranh 
Cypriniformes,Cyprinidae,Anematichthys armatus,native ,,Phkar kor 
Cypriniformes,Cyprinidae,Anematichthys repasson,native ,,Trey srawka kdam 
Anguilliformes,Anguillidae,Anguilla bicolor,native ,Indonesian shortfin eel ,Trey chlok 
Anguilliformes,Anguillidae,Anguilla japonica,introduced ,Japanese eel ,
Anguilliformes,Anguillidae,Anguilla marmorata,native ,Giant mottled eel ,Antong Tunleir 
Cypriniformes,Balitoridae,Annamia normani,native ,,
Clupeiformes,Clupeidae,Anodontostoma chacunda,native ,Chacunda gizzard shad ,Trey ka moi 
Cyprinodontiformes,Aplocheilidae,Aplocheilus panchax,native ,Blue panchax ,Trey changwa ronoung 
Perciformes,Gobiidae,Apocryptodon madurensis,native ,Madura goby ,
Tetraodontiformes,Tetraodontidae,Auriglobus nefastus,native ,Greenbottle pufferfish ,Trey kampot 
Perciformes,Gobiidae,Awaous grammepomus,native ,Scribbled goby ,
Siluriformes,Sisoridae,Bagarius bagarius,native ,Goonch ,Trey krawbey 
Siluriformes,Sisoridae,Bagarius yarrelli,native ,,Trey krawbey 
Siluriformes,Bagridae,Bagrichthys macracanthus,native ,Black lancer catfish ,Trey chek tum 
Siluriformes,Bagridae,Bagrichthys macropterus,native ,False black lancer ,Trey chek tum 
Siluriformes,Bagridae,Bagrichthys obscurus,native ,,
Cypriniformes,Cyprinidae,Balantiocheilos melanopterus,native ,Tricolor sharkminnow ,Trey kiet srawng 
Cypriniformes,Balitoridae,Balitora annamitica,native ,,
Cypriniformes,Balitoridae,Balitora meridionalis,native ,,
Cypriniformes,Cyprinidae,Bangana behri,native ,,Trey pava mook pee 
Cypriniformes,Cyprinidae,Barbichthys laevis,native ,Sucker barb ,Trey phkar kor 
Cypriniformes,Cyprinidae,Barbodes binotatus,native ,Spotted barb ,Kulprich 
Cypriniformes,Cyprinidae,Barbonymus altus,native ,Red tailed tinfoil ,Kahe 
Cypriniformes,Cyprinidae,Barbonymus balleroides,native ,,
Cypriniformes,Cyprinidae,Barbonymus gonionotus,native ,Silver barb ,Chhpin 
