number_of_targets,number_of_species,threshold
0.91,1.0,32
1.78,2.0,32
2.58,3.0,32
3.03,4.0,32
3.34,5.0,32
3.66,6.0,32
3.85,7.0,32
3.98,8.0,32
4.1,9.0,32
4.31,10.0,32
4.36,11.0,32
4.49,12.0,32
4.59,13.0,32
4.66,14.0,32
4.68,15.0,32
4.71,16.0,32
4.76,17.0,32
4.79,18.0,32
4.82,19.0,32
4.85,20.0,32
4.89,21.0,32
4.89,22.0,32
4.9,23.0,32
4.93,24.0,32
4.94,25.0,32
4.95,26.0,32
4.96,27.0,32
4.98,28.0,32
4.98,29.0,32
4.98,30.0,32
4.99,31.0,32
4.99,32.0,32
4.99,33.0,32
5.0,34.0,32
5.0,35.0,32
5.0,36.0,32
5.0,37.0,32
5.0,38.0,32
5.0,39.0,32
5.0,40.0,32
5.0,41.0,32
5.0,42.0,32
5.0,43.0,32
5.0,44.0,32
5.0,45.0,32
5.0,46.0,32
5.0,47.0,32
5.0,48.0,32
5.0,49.0,32
5.0,50.0,32
5.0,51.0,32
5.0,52.0,32
5.0,53.0,32
5.0,54.0,32
5.0,55.0,32
5.0,56.0,32
5.0,57.0,32
5.0,58.0,32
5.0,59.0,32
5.0,60.0,32
5.0,61.0,32
5.0,62.0,32
5.0,63.0,32
5.0,64.0,32
5.0,65.0,32
5.0,66.0,32
5.0,67.0,32
5.0,68.0,32
5.0,69.0,32
5.0,70.0,32
5.0,71.0,32
5.0,72.0,32
5.0,73.0,32
5.0,74.0,32
5.0,75.0,32
5.0,76.0,32
5.0,77.0,32
5.0,78.0,32
5.0,79.0,32
5.0,80.0,32
5.0,81.0,32
5.0,82.0,32
5.0,83.0,32
5.0,84.0,32
5.0,85.0,32
5.0,86.0,32
5.0,87.0,32
5.0,88.0,32
5.0,89.0,32
5.0,90.0,32
5.0,91.0,32
5.0,92.0,32
5.0,93.0,32
5.0,94.0,32
5.0,95.0,32
5.0,96.0,32
5.0,97.0,32
5.0,98.0,32
5.0,99.0,32
5.0,100.0,32
5.0,101.0,32
5.0,102.0,32
5.0,103.0,32
5.0,104.0,32
5.0,105.0,32
5.0,106.0,32
5.0,107.0,32
5.0,108.0,32
