number_of_targets,number_of_species,threshold
0.94,1.0,28
1.87,2.0,28
2.59,3.0,28
2.98,4.0,28
3.46,5.0,28
3.77,6.0,28
4.04,7.0,28
4.3,8.0,28
4.44,9.0,28
4.49,10.0,28
4.59,11.0,28
4.69,12.0,28
4.76,13.0,28
4.78,14.0,28
4.79,15.0,28
4.83,16.0,28
4.86,17.0,28
4.87,18.0,28
4.9,19.0,28
4.9,20.0,28
4.94,21.0,28
4.95,22.0,28
4.96,23.0,28
4.97,24.0,28
4.98,25.0,28
4.99,26.0,28
4.99,27.0,28
5.0,28.0,28
5.0,29.0,28
5.0,30.0,28
5.0,31.0,28
5.0,32.0,28
5.0,33.0,28
5.0,34.0,28
5.0,35.0,28
5.0,36.0,28
5.0,37.0,28
5.0,38.0,28
5.0,39.0,28
5.0,40.0,28
5.0,41.0,28
5.0,42.0,28
5.0,43.0,28
5.0,44.0,28
5.0,45.0,28
5.0,46.0,28
5.0,47.0,28
5.0,48.0,28
5.0,49.0,28
5.0,50.0,28
5.0,51.0,28
5.0,52.0,28
5.0,53.0,28
5.0,54.0,28
5.0,55.0,28
5.0,56.0,28
5.0,57.0,28
5.0,58.0,28
5.0,59.0,28
5.0,60.0,28
5.0,61.0,28
5.0,62.0,28
5.0,63.0,28
5.0,64.0,28
5.0,65.0,28
5.0,66.0,28
5.0,67.0,28
5.0,68.0,28
5.0,69.0,28
5.0,70.0,28
5.0,71.0,28
5.0,72.0,28
5.0,73.0,28
5.0,74.0,28
5.0,75.0,28
5.0,76.0,28
5.0,77.0,28
5.0,78.0,28
5.0,79.0,28
5.0,80.0,28
5.0,81.0,28
5.0,82.0,28
5.0,83.0,28
5.0,84.0,28
5.0,85.0,28
5.0,86.0,28
5.0,87.0,28
5.0,88.0,28
5.0,89.0,28
5.0,90.0,28
5.0,91.0,28
5.0,92.0,28
5.0,93.0,28
5.0,94.0,28
5.0,95.0,28
5.0,96.0,28
5.0,97.0,28
5.0,98.0,28
5.0,99.0,28
5.0,100.0,28
5.0,101.0,28
5.0,102.0,28
5.0,103.0,28
5.0,104.0,28
5.0,105.0,28
5.0,106.0,28
5.0,107.0,28
5.0,108.0,28
