number_of_targets,number_of_species,threshold
0.62,1.0,47
1.14,2.0,47
1.63,3.0,47
2.03,4.0,47
2.28,5.0,47
2.63,6.0,47
2.83,7.0,47
3.05,8.0,47
3.19,9.0,47
3.34,10.0,47
3.5,11.0,47
3.67,12.0,47
3.78,13.0,47
3.86,14.0,47
3.95,15.0,47
4.02,16.0,47
4.13,17.0,47
4.22,18.0,47
4.28,19.0,47
4.32,20.0,47
4.36,21.0,47
4.39,22.0,47
4.43,23.0,47
4.45,24.0,47
4.47,25.0,47
4.54,26.0,47
4.57,27.0,47
4.63,28.0,47
4.64,29.0,47
4.65,30.0,47
4.68,31.0,47
4.71,32.0,47
4.75,33.0,47
4.77,34.0,47
4.77,35.0,47
4.79,36.0,47
4.79,37.0,47
4.8,38.0,47
4.81,39.0,47
4.85,40.0,47
4.87,41.0,47
4.88,42.0,47
4.89,43.0,47
4.9,44.0,47
4.91,45.0,47
4.91,46.0,47
4.93,47.0,47
4.93,48.0,47
4.93,49.0,47
4.94,50.0,47
4.94,51.0,47
4.96,52.0,47
4.97,53.0,47
4.98,54.0,47
4.98,55.0,47
4.98,56.0,47
4.99,57.0,47
4.99,58.0,47
4.99,59.0,47
4.99,60.0,47
4.99,61.0,47
4.99,62.0,47
5.0,63.0,47
5.0,64.0,47
5.0,65.0,47
5.0,66.0,47
5.0,67.0,47
5.0,68.0,47
5.0,69.0,47
5.0,70.0,47
5.0,71.0,47
5.0,72.0,47
5.0,73.0,47
5.0,74.0,47
5.0,75.0,47
5.0,76.0,47
5.0,77.0,47
5.0,78.0,47
5.0,79.0,47
5.0,80.0,47
5.0,81.0,47
5.0,82.0,47
5.0,83.0,47
5.0,84.0,47
5.0,85.0,47
5.0,86.0,47
5.0,87.0,47
5.0,88.0,47
5.0,89.0,47
5.0,90.0,47
5.0,91.0,47
5.0,92.0,47
5.0,93.0,47
5.0,94.0,47
5.0,95.0,47
5.0,96.0,47
5.0,97.0,47
5.0,98.0,47
5.0,99.0,47
5.0,100.0,47
5.0,101.0,47
5.0,102.0,47
5.0,103.0,47
5.0,104.0,47
5.0,105.0,47
5.0,106.0,47
5.0,107.0,47
5.0,108.0,47
