number_of_targets,number_of_species,threshold
0.92,1.0,33
1.6,2.0,33
2.27,3.0,33
2.81,4.0,33
3.11,5.0,33
3.45,6.0,33
3.81,7.0,33
4.01,8.0,33
4.19,9.0,33
4.34,10.0,33
4.43,11.0,33
4.51,12.0,33
4.61,13.0,33
4.66,14.0,33
4.71,15.0,33
4.8,16.0,33
4.83,17.0,33
4.87,18.0,33
4.87,19.0,33
4.89,20.0,33
4.9,21.0,33
4.91,22.0,33
4.95,23.0,33
4.96,24.0,33
4.97,25.0,33
4.98,26.0,33
4.98,27.0,33
4.98,28.0,33
4.99,29.0,33
4.99,30.0,33
4.99,31.0,33
4.99,32.0,33
4.99,33.0,33
4.99,34.0,33
4.99,35.0,33
5.0,36.0,33
5.0,37.0,33
5.0,38.0,33
5.0,39.0,33
5.0,40.0,33
5.0,41.0,33
5.0,42.0,33
5.0,43.0,33
5.0,44.0,33
5.0,45.0,33
5.0,46.0,33
5.0,47.0,33
5.0,48.0,33
5.0,49.0,33
5.0,50.0,33
5.0,51.0,33
5.0,52.0,33
5.0,53.0,33
5.0,54.0,33
5.0,55.0,33
5.0,56.0,33
5.0,57.0,33
5.0,58.0,33
5.0,59.0,33
5.0,60.0,33
5.0,61.0,33
5.0,62.0,33
5.0,63.0,33
5.0,64.0,33
5.0,65.0,33
5.0,66.0,33
5.0,67.0,33
5.0,68.0,33
5.0,69.0,33
5.0,70.0,33
5.0,71.0,33
5.0,72.0,33
5.0,73.0,33
5.0,74.0,33
5.0,75.0,33
5.0,76.0,33
5.0,77.0,33
5.0,78.0,33
5.0,79.0,33
5.0,80.0,33
5.0,81.0,33
5.0,82.0,33
5.0,83.0,33
5.0,84.0,33
5.0,85.0,33
5.0,86.0,33
5.0,87.0,33
5.0,88.0,33
5.0,89.0,33
5.0,90.0,33
5.0,91.0,33
5.0,92.0,33
5.0,93.0,33
5.0,94.0,33
5.0,95.0,33
5.0,96.0,33
5.0,97.0,33
5.0,98.0,33
5.0,99.0,33
5.0,100.0,33
5.0,101.0,33
5.0,102.0,33
5.0,103.0,33
5.0,104.0,33
5.0,105.0,33
5.0,106.0,33
5.0,107.0,33
5.0,108.0,33
