number_of_targets,number_of_species,threshold
1.37,1.0,18
2.4,2.0,18
3.11,3.0,18
3.64,4.0,18
4.12,5.0,18
4.29,6.0,18
4.42,7.0,18
4.51,8.0,18
4.69,9.0,18
4.76,10.0,18
4.82,11.0,18
4.85,12.0,18
4.88,13.0,18
4.89,14.0,18
4.9,15.0,18
4.91,16.0,18
4.92,17.0,18
4.95,18.0,18
4.96,19.0,18
4.99,20.0,18
4.99,21.0,18
4.99,22.0,18
4.99,23.0,18
4.99,24.0,18
4.99,25.0,18
4.99,26.0,18
5.0,27.0,18
5.0,28.0,18
5.0,29.0,18
5.0,30.0,18
5.0,31.0,18
5.0,32.0,18
5.0,33.0,18
5.0,34.0,18
5.0,35.0,18
5.0,36.0,18
5.0,37.0,18
5.0,38.0,18
5.0,39.0,18
5.0,40.0,18
5.0,41.0,18
5.0,42.0,18
5.0,43.0,18
5.0,44.0,18
5.0,45.0,18
5.0,46.0,18
5.0,47.0,18
5.0,48.0,18
5.0,49.0,18
5.0,50.0,18
5.0,51.0,18
5.0,52.0,18
5.0,53.0,18
5.0,54.0,18
5.0,55.0,18
5.0,56.0,18
5.0,57.0,18
5.0,58.0,18
5.0,59.0,18
5.0,60.0,18
5.0,61.0,18
5.0,62.0,18
5.0,63.0,18
5.0,64.0,18
5.0,65.0,18
5.0,66.0,18
5.0,67.0,18
5.0,68.0,18
5.0,69.0,18
5.0,70.0,18
5.0,71.0,18
5.0,72.0,18
5.0,73.0,18
5.0,74.0,18
5.0,75.0,18
5.0,76.0,18
5.0,77.0,18
5.0,78.0,18
5.0,79.0,18
5.0,80.0,18
5.0,81.0,18
5.0,82.0,18
5.0,83.0,18
5.0,84.0,18
5.0,85.0,18
5.0,86.0,18
5.0,87.0,18
5.0,88.0,18
5.0,89.0,18
5.0,90.0,18
5.0,91.0,18
5.0,92.0,18
5.0,93.0,18
5.0,94.0,18
5.0,95.0,18
5.0,96.0,18
5.0,97.0,18
5.0,98.0,18
5.0,99.0,18
5.0,100.0,18
5.0,101.0,18
5.0,102.0,18
5.0,103.0,18
5.0,104.0,18
5.0,105.0,18
5.0,106.0,18
5.0,107.0,18
5.0,108.0,18
