number_of_targets,number_of_species,threshold
0.62,1.0,50
1.21,2.0,50
1.6,3.0,50
1.83,4.0,50
2.21,5.0,50
2.63,6.0,50
2.91,7.0,50
3.15,8.0,50
3.32,9.0,50
3.47,10.0,50
3.61,11.0,50
3.73,12.0,50
3.86,13.0,50
3.99,14.0,50
4.03,15.0,50
4.11,16.0,50
4.23,17.0,50
4.29,18.0,50
4.31,19.0,50
4.35,20.0,50
4.37,21.0,50
4.41,22.0,50
4.47,23.0,50
4.51,24.0,50
4.52,25.0,50
4.53,26.0,50
4.55,27.0,50
4.59,28.0,50
4.61,29.0,50
4.63,30.0,50
4.68,31.0,50
4.68,32.0,50
4.7,33.0,50
4.76,34.0,50
4.79,35.0,50
4.83,36.0,50
4.86,37.0,50
4.89,38.0,50
4.9,39.0,50
4.92,40.0,50
4.94,41.0,50
4.95,42.0,50
4.96,43.0,50
4.96,44.0,50
4.96,45.0,50
4.96,46.0,50
4.96,47.0,50
4.96,48.0,50
4.97,49.0,50
4.98,50.0,50
4.98,51.0,50
4.98,52.0,50
4.99,53.0,50
5.0,54.0,50
5.0,55.0,50
5.0,56.0,50
5.0,57.0,50
5.0,58.0,50
5.0,59.0,50
5.0,60.0,50
5.0,61.0,50
5.0,62.0,50
5.0,63.0,50
5.0,64.0,50
5.0,65.0,50
5.0,66.0,50
5.0,67.0,50
5.0,68.0,50
5.0,69.0,50
5.0,70.0,50
5.0,71.0,50
5.0,72.0,50
5.0,73.0,50
5.0,74.0,50
5.0,75.0,50
5.0,76.0,50
5.0,77.0,50
5.0,78.0,50
5.0,79.0,50
5.0,80.0,50
5.0,81.0,50
5.0,82.0,50
5.0,83.0,50
5.0,84.0,50
5.0,85.0,50
5.0,86.0,50
5.0,87.0,50
5.0,88.0,50
5.0,89.0,50
5.0,90.0,50
5.0,91.0,50
5.0,92.0,50
5.0,93.0,50
5.0,94.0,50
5.0,95.0,50
5.0,96.0,50
5.0,97.0,50
5.0,98.0,50
5.0,99.0,50
5.0,100.0,50
5.0,101.0,50
5.0,102.0,50
5.0,103.0,50
5.0,104.0,50
5.0,105.0,50
5.0,106.0,50
5.0,107.0,50
5.0,108.0,50
