number_of_targets,number_of_species,threshold
0.88,1.0,40
1.53,2.0,40
2.08,3.0,40
2.59,4.0,40
2.94,5.0,40
3.2,6.0,40
3.41,7.0,40
3.63,8.0,40
3.78,9.0,40
3.89,10.0,40
3.97,11.0,40
4.07,12.0,40
4.13,13.0,40
4.27,14.0,40
4.37,15.0,40
4.43,16.0,40
4.48,17.0,40
4.51,18.0,40
4.55,19.0,40
4.61,20.0,40
4.68,21.0,40
4.74,22.0,40
4.76,23.0,40
4.77,24.0,40
4.77,25.0,40
4.81,26.0,40
4.82,27.0,40
4.82,28.0,40
4.83,29.0,40
4.84,30.0,40
4.87,31.0,40
4.87,32.0,40
4.89,33.0,40
4.9,34.0,40
4.92,35.0,40
4.92,36.0,40
4.94,37.0,40
4.94,38.0,40
4.96,39.0,40
4.97,40.0,40
4.99,41.0,40
4.99,42.0,40
4.99,43.0,40
4.99,44.0,40
4.99,45.0,40
4.99,46.0,40
4.99,47.0,40
4.99,48.0,40
5.0,49.0,40
5.0,50.0,40
5.0,51.0,40
5.0,52.0,40
5.0,53.0,40
5.0,54.0,40
5.0,55.0,40
5.0,56.0,40
5.0,57.0,40
5.0,58.0,40
5.0,59.0,40
5.0,60.0,40
5.0,61.0,40
5.0,62.0,40
5.0,63.0,40
5.0,64.0,40
5.0,65.0,40
5.0,66.0,40
5.0,67.0,40
5.0,68.0,40
5.0,69.0,40
5.0,70.0,40
5.0,71.0,40
5.0,72.0,40
5.0,73.0,40
5.0,74.0,40
5.0,75.0,40
5.0,76.0,40
5.0,77.0,40
5.0,78.0,40
5.0,79.0,40
5.0,80.0,40
5.0,81.0,40
5.0,82.0,40
5.0,83.0,40
5.0,84.0,40
5.0,85.0,40
5.0,86.0,40
5.0,87.0,40
5.0,88.0,40
5.0,89.0,40
5.0,90.0,40
5.0,91.0,40
5.0,92.0,40
5.0,93.0,40
5.0,94.0,40
5.0,95.0,40
5.0,96.0,40
5.0,97.0,40
5.0,98.0,40
5.0,99.0,40
5.0,100.0,40
5.0,101.0,40
5.0,102.0,40
5.0,103.0,40
5.0,104.0,40
5.0,105.0,40
5.0,106.0,40
5.0,107.0,40
5.0,108.0,40
