number_of_targets,number_of_species,threshold
0.61,1.0,46
1.27,2.0,46
1.74,3.0,46
2.06,4.0,46
2.47,5.0,46
2.72,6.0,46
2.98,7.0,46
3.1,8.0,46
3.23,9.0,46
3.46,10.0,46
3.57,11.0,46
3.64,12.0,46
3.77,13.0,46
3.94,14.0,46
4.04,15.0,46
4.16,16.0,46
4.25,17.0,46
4.29,18.0,46
4.37,19.0,46
4.45,20.0,46
4.46,21.0,46
4.51,22.0,46
4.51,23.0,46
4.56,24.0,46
4.57,25.0,46
4.61,26.0,46
4.64,27.0,46
4.68,28.0,46
4.74,29.0,46
4.74,30.0,46
4.76,31.0,46
4.77,32.0,46
4.79,33.0,46
4.8,34.0,46
4.8,35.0,46
4.83,36.0,46
4.86,37.0,46
4.87,38.0,46
4.9,39.0,46
4.91,40.0,46
4.91,41.0,46
4.91,42.0,46
4.93,43.0,46
4.93,44.0,46
4.94,45.0,46
4.96,46.0,46
4.96,47.0,46
4.96,48.0,46
4.96,49.0,46
4.96,50.0,46
4.96,51.0,46
4.96,52.0,46
4.96,53.0,46
4.96,54.0,46
4.99,55.0,46
4.99,56.0,46
4.99,57.0,46
4.99,58.0,46
4.99,59.0,46
4.99,60.0,46
4.99,61.0,46
4.99,62.0,46
4.99,63.0,46
4.99,64.0,46
4.99,65.0,46
4.99,66.0,46
5.0,67.0,46
5.0,68.0,46
5.0,69.0,46
5.0,70.0,46
5.0,71.0,46
5.0,72.0,46
5.0,73.0,46
5.0,74.0,46
5.0,75.0,46
5.0,76.0,46
5.0,77.0,46
5.0,78.0,46
5.0,79.0,46
5.0,80.0,46
5.0,81.0,46
5.0,82.0,46
5.0,83.0,46
5.0,84.0,46
5.0,85.0,46
5.0,86.0,46
5.0,87.0,46
5.0,88.0,46
5.0,89.0,46
5.0,90.0,46
5.0,91.0,46
5.0,92.0,46
5.0,93.0,46
5.0,94.0,46
5.0,95.0,46
5.0,96.0,46
5.0,97.0,46
5.0,98.0,46
5.0,99.0,46
5.0,100.0,46
5.0,101.0,46
5.0,102.0,46
5.0,103.0,46
5.0,104.0,46
5.0,105.0,46
5.0,106.0,46
5.0,107.0,46
5.0,108.0,46
