obs_id,taxon_name,genus_species,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples
contam12,Albula vulpes,albula vulpes,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam13,Albula vulpes,albula vulpes,finfish,NA,US-Florida,9.5,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam14,Alopias vulpinus,alopias vulpinus,finfish,shark-thresher,US-Hawaii,93.1,NA,NA,NA,NA,karimi,"Kaneko JJ, Ralston NVC. 2007. Selenium and mercury in pelagic fish in the central north pacific near Hawaii. Biol Trace Elem Res 119:242-254.",10
contam15,Alopias vulpinus,alopias vulpinus,finfish,shark-thresher,US-California,12.35,NA,NA,NA,NA,karimi,"Suk SH, Smith SE, Ramon DA. 2009. Bioaccumulation of mercury in pelagic sharks from the northeast Pacific Ocean. CalCOFI Rep., Vol. 50, 2009. La Jolla, CA. Available: http://calcofi.org/publications/calcofireports/v50/172-177_Suk.pdf [accessed 3 May 2011].",38
contam16,Alopias vulpinus,alopias vulpinus,finfish,shark-thresher (bigeye),US-California,43.699999999999996,NA,NA,NA,NA,karimi,"Suk SH, Smith SE, Ramon DA. 2009. Bioaccumulation of mercury in pelagic sharks from the northeast Pacific Ocean. CalCOFI Rep., Vol. 50, 2009. La Jolla, CA. Available: http://calcofi.org/publications/calcofireports/v50/172-177_Suk.pdf [accessed 3 May 2011].",2
contam17,Alosa aestivalis,alosa aestivalis,finfish,NA,US-north atlantic,0,50,256.5,5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam18,Alosa aestivalis,alosa aestivalis,finfish,herring-blueback,US-Virginia,9.12309632360074,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam19,Alosa aestivalis,alosa aestivalis,finfish,herring-blueback,US-Virginia,30.503480160544637,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam20,Alosa aestivalis,alosa aestivalis,finfish,herring-blueback,US,4.3000000000000025,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,38
contam21,Alosa mediocris,alosa mediocris,finfish,shad-hickory,US-Virginia,6.875813590210881,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam22,Alosa mediocris,alosa mediocris,finfish,shad-hickory,US-Virginia,7.104496579005882,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1
contam23,Alosa mediocris,alosa mediocris,finfish,shad-hickory,US-Virginia,7.47726492786604,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2
contam24,Alosa mediocris,alosa mediocris,finfish,shad-hickory,US,9.816666666666666,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,3
contam25,Alosa pseudoharengus,alosa pseudoharengus,finfish,NA,US-north atlantic,0,75,585,13,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam26,Alosa sapidissima,alosa sapidissima,finfish,NA,US-north atlantic,12.35,48.5,523.3,6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam27,Alosa sapidissima,alosa sapidissima,finfish,NA,US-pacific northwest,0.95,44.3,388.5,4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam28,Alosa sapidissima,alosa sapidissima,finfish,shad-American,US-Virginia,10.54941710332019,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,5
contam29,Alosa sapidissima,alosa sapidissima,finfish,shad-American,US,3.7740909090909094,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,11
contam30,Alosa sapidissima,alosa sapidissima,finfish,shad-American/winter,US-Maryland,14.80812156572938,NA,NA,NA,NA,karimi,State of Maryland. 2007. Toxics Data Sets. Available: http://archive.chesapeakebay.net/data/historicaldb/toxicsmain.htm [accessed 24 October 2007].,8
contam31,Ambloplites rupestris,ambloplites rupestris,finfish,bass-rock,Great Lakes,22.99,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,32
contam32,Ambloplites rupestris,ambloplites rupestris,finfish,bass-rock (freshwater-wild),Canada - Ontario lakes,19.38,NA,NA,NA,NA,karimi,"Schetagne R, Doyon JF, Fournier JJ. 2000. Export of mercury downstream from reservoirs. Sci Total Environ 260(1-3):135-145.",18
contam33,Ameiurus nebulosus,ameiurus nebulosus,finfish,bullhead-brown,US-Delaware,6.877999999999999,NA,NA,NA,NA,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,5
contam34,Ameiurus nebulosus,ameiurus nebulosus,finfish,bullhead-brown,US-North Carolina,13.435714285714285,NA,NA,NA,NA,karimi,"State of North Carolina. 2011. Statewide Fish Tissue Metals Results Available: http://portal.ncdenr.org/web/wq/ess/bau/fish-tissue-data, for 1990-2010 [accessed 26 January 2011].",7
contam35,Ameiurus nebulosus,ameiurus nebulosus,finfish,bullhead-brown,US-Virginia,10.933044256437373,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,15
contam36,Ameiurus nebulosus,ameiurus nebulosus,finfish,bullhead-brown,US,12.566238095238086,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,105
contam37,Amphistichus argenteus,amphistichus argenteus,finfish,NA,US-california,9.025,70.89999999999999,261.1,9.4,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam38,Anarhichas lupus,anarhichas lupus,finfish,NA,US-north atlantic,38,19,584,4.5,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam39,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- gulf,7.790000000000001,78.60000000000001,131.29999999999998,13.900000000000002,"h&g, tailless",hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam40,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- gulf,8.645,89.1,84.8,14.299999999999999,"h&g, tailless",hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam41,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- california,7.6,160.3,325.5,16.400000000000002,whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam42,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- california,4.56,143.79999999999998,262.9,31,whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam43,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- california,2.375,123.30000000000001,564.1,35.699999999999996,whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam44,Anchoa hepsetus,anchoa hepsetus,finfish,NA,US- california,1.9,225.3,284.8,42.8,whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam45,Anguilla rostrata,anguilla rostrata,finfish,NA,US-north atlantic,17.955,41.3,159.5,6.800000000000001,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam46,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Atlantic,16.15,NA,NA,NA,NA,karimi,"Delaware River Basin Commission. 2011. Fish and Shellfish Tissue Data, DRBC EPA Coastal 2000. Available: http://www.state.nj.us/drbc/fishtiss.htm [accessed 3 February 2011].",8
contam47,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-GA/SC,14.25,NA,NA,NA,NA,karimi,"Burger J, Gaines KF, Boring CS, Stephens WL, Snodgrass J, Gochfeld M. 2001. Mercury and selenium in fish from the Savannah River: Species, trophic level, and locational differences. Environ Res 87(2):108-118.",24
contam48,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-New Jersey,9.975,NA,NA,NA,NA,karimi,"Horwitz R, Ashley J, Overbeck P, Velinsky D. 2005. Final Report: Routine Monitoring Program for Toxics in Fish. Trenton, NJ. Available: http://www.state.nj.us/dep/dsr/final-reportroutinemonitoing5-05.pdf [accessed 24 October 2007].",6
contam49,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Delaware,8.113000000000001,NA,NA,NA,NA,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,5
contam50,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Louisiana,26.6,NA,NA,NA,NA,karimi,State of Louisiana. 2011. Department of Environmental Quality Mercury Fish Tissue Data 2005-2010 (Data file). Available: http://www.deq.louisiana.gov/portal/default.aspx?tabid=1633 [accessed 4 February 2011].,1
contam51,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-New Jersey,18.74423076923077,NA,NA,NA,NA,karimi,State of New Jersey. 2004. Routine Monitoring For Toxics in Fish Program Available: http://www.state.nj.us/dep/dsr/task1.pdf (Task I-Appendix I. Draft Summary of Chemical Contaminant Concentrations) and http://www.state.nj.us/dep/dsr/task2.pdf (Task 2) [accessed 29 November 2011].,26
contam52,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-New Jersey,22.247272727272723,NA,NA,NA,NA,karimi,State of New Jersey. 2008. Routine Monitoring Program for Toxics in Fish: Year 3 Raritan River Region. Available: http://www.state.nj.us/dep/dsr/fishmonitoring-year3.pdf [accessed 29 November 2011].,33
contam53,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,5.1667741898249995,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,31
contam54,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,6.377863382581247,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2
contam55,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,8.112212894274759,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,10
contam56,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,10.28762518738435,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,3
contam57,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,16.682667317597915,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,6
contam58,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,34.36126479443435,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,8
contam59,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US-Virginia,56.2690745234457,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2
contam60,Anguilla rostrata,anguilla rostrata,finfish,eel-American (wild),US,19.601892857142854,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,280
contam61,Anoplopoma fimbria,anolopoma fimbria,finfish,NA,US-california,27.644999999999996,32.800000000000004,363.6,11.799999999999999,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam62,Anoplopoma fimbria,anolopoma fimbria,finfish,NA,US-pacific northwest,7.505,29.799999999999997,225.70000000000002,4.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam63,Anoplopoma fimbria,anolopoma fimbria,finfish,NA,US-alaska,13.205000000000002,69,199.2,5.1,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam64,Anoplopoma fimbria,anoplopoma fimbria,finfish,sablefish,US-Alaska,31.600799999999996,NA,NA,NA,NA,karimi,Bloom NS. 1992. On the chemical form of mercury in edible fish and marine invertebrate tissue Can J Fish Aquat Sci 49(5):1010-1017.,9
contam65,Anoplopoma fimbria,anoplopoma fimbria,finfish,sablefish,US-Alaska,17.099999999999998,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,227
contam66,Anoplopoma fimbria,anoplopoma fimbria,finfish,sablefish,US,49.115,NA,NA,NA,NA,karimi,"Teeny FM, Hall AS, Gauglitz EJ. 1974. Reduction of mercury in sablefish (Anoplopoma fimbria) and use of treated flesh in smoked products. Marine Fisheries Review 36(5):15-17.",6
contam67,Aprion virescens,aprion virescens,finfish,NA,US-hawaii,34.105,58.4,337,8.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam68,Aequipecten gibbus,aquipecten gibbus,mollusc,NA,US-south atlantic,2.19,102.4,892,138.9,shucked,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam69,Aequipecten irradians,aquipecten irradians,mollusc,NA,US-south atlantic,2.73,38,257.7,13.3,adductor muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam70,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-gulf,15.295,43,458.90000000000003,9.6,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam71,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam72,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,19.95,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam73,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,22.799999999999997,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam74,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,15.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam75,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,15.2,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam76,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,18.05,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam77,Archosargus probatocephalus,archosargus probatocephalus,finfish,NA,US-Florida,14.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam78,Archosargus rhomboidalis,archosargus rhomboidalis,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam79,Argentina silus,argentina silus,finfish,NA,US- north atlantic,5.225,51,249.00000000000003,9.8,"hcg, tailless",hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam80,Arius felis,arius felis,finfish,NA,US-gulf,14.534999999999998,42.6,897.7,3.8,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam81,Arius felis,arius felis,finfish,NA,US-Florida,20.9,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam82,Arius felis,arius felis,finfish,NA,US-Florida,21.849999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam83,Arius felis,arius felis,finfish,NA,US-Florida,14.25,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam84,Arius felis,arius felis,finfish,NA,US-Florida,17.099999999999998,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989–2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA
contam85,Atherinopsis californiensis,atherinopsis californiensis,finfish,NA,US-california,5.89,139.79999999999998,220.9,17.1,whole,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
contam86,Bagre marinus,bagre marinus,finfish,NA,US-gulf,28.594999999999995,45.5,757.2,7.7,muscle,hall,"Hall, R. A., E. G. Zook, and G. M. Meaburn. 1978. National Marine Fisheries Service Survey of Trace Elements in the Fishery Resource. https://spo.nmfs.noaa.gov/content/national-marine-fisheries-service-survey-trace-elements-fishery-resource.",NA
