term,V1,V2,V3,estimate,lower,upper,wip
body_partmuscle,+,+,+,0.6271062692336163,-0.7862260635726276,2.04043860203986,1
body_partmuscle_organs,+,+,+,2.41167918556002,0.9559354189569287,3.8674229521631114,1
body_partoil,+,+,+,-1.433485112392435,-4.009687690184343,1.1427174653994736,1
log_length,-0.2732769,NA,-0.3162267,-0.28372845696653487,-1.182749820079475,0.6152929061464054,0.655277002075264
bulk_trophic_level,0.4910765,0.7810612,NA,0.6100049316556371,-0.5219147124657437,1.7419245757770179,0.8405424103107
feeding_modepredator,NA,+,+,-0.2022663748397085,-1.2757363415531235,0.8712035918737067,0.504180587614036
feeding_modevariable,NA,+,+,0.4764779708553168,-0.6751792136520951,1.6281351553627288,0.504180587614036
DemersPelag,NA,NA,NA,NA,NA,NA,NA
EnvTemp,NA,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,0.5528640,0.5801985,0.5632686,NA,NA,NA,NA
delta,0.0000000,0.7269412,2.2688676,NA,NA,NA,NA
weight,0.4500777,0.3129206,0.1447468,NA,NA,NA,NA
cum_weight,0.4500777,0.7629983,0.9077451,NA,NA,NA,NA
