culture,latin_name
Abenaki,Anguilla rostrata
Abenaki,Boreogadus saida
Abenaki,Clupea harengus
Abenaki,Clupea pallasii
Abenaki,Crassostrea virginica
Abenaki,Gadiformes
Abenaki,Gadus macrocephalus
Abenaki,Gadus morhua
Abenaki,Hippoglossus hippoglossus
Abenaki,Hippoglossus stenolepis
Abenaki,Melanogrammus aeglefinus
Abenaki,Mercenaria mercenaria 
Abenaki,Microstomus pacificus
Abenaki,Mya arenaria
Abenaki,Nephropidae
Abenaki,Oncorhynchus gorbuscha
Abenaki,Oncorhynchus keta
Abenaki,Oncorhynchus kisutch
Abenaki,Oncorhynchus nerka
Abenaki,Oncorhynchus tshawytscha
Abenaki,Osmerus mordax
Abenaki,Ostreidae
Abenaki,Pleuronectinae
Abenaki,Pseudopleuronectes americanus
Abenaki,Reinhardtius hippoglossoides
Abenaki,Salmo salar
Abenaki,Scomber scombrus
Abenaki,Scomber spp.
Abenaki,Thunnus spp.
Bella Coola,Anoplopoma fimbria
Bella Coola,Boreogadus saida
Bella Coola,Callinectes sapidus
Bella Coola,Cancer magister
Bella Coola,Centropristes striata
Bella Coola,Clupea harengus
Bella Coola,Clupea pallasii
Bella Coola,Gadiformes
Bella Coola,Gadus macrocephalus
Bella Coola,Gadus morhua
Bella Coola,Hippoglossus hippoglossus
Bella Coola,Hippoglossus stenolepis
Bella Coola,Melanogrammus aeglefinus
Bella Coola,Mercenaria mercenaria 
Bella Coola,Micropogonias undulatus
Bella Coola,Microstomus pacificus
Bella Coola,Morone saxatillis
Bella Coola,Mugil cephalus
Bella Coola,Mya arenaria
Bella Coola,Mytilidae
Bella Coola,Mytilus edulis
Bella Coola,Octopoda
Bella Coola,Oncorhynchus gorbuscha
Bella Coola,Oncorhynchus keta
Bella Coola,Oncorhynchus kisutch
Bella Coola,Oncorhynchus mykiss
Bella Coola,Oncorhynchus nerka
Bella Coola,Oncorhynchus tshawytscha
Bella Coola,Pleuronectinae
Bella Coola,Pomatomus saltatrix
Bella Coola,Pseudopleuronectes americanus
Bella Coola,Reinhardtius hippoglossoides
Bella Coola,Salmo salar
Bella Coola,Salvelinus fontinalis
Bella Coola,Salvelinus namaycush
Bella Coola,Sebastes norvegicus
Bella Coola,Sebastes pinniger
Bella Coola,Sebastes spp.
Bella Coola,Sparidae
Bella Coola,Thaleichthys pacificus
Central Salish,Anoplopoma fimbria
Central Salish,Boreogadus saida
Central Salish,Catostomus catostomus
Central Salish,Catostomus commersonii
Central Salish,Centropristes striata
Central Salish,Clupea harengus
Central Salish,Clupea pallasii
Central Salish,Coregonus artedi
Central Salish,Coregonus autumnalis
Central Salish,Coregonus clupeaformis
Central Salish,Cyprinus carpio
Central Salish,Gadiformes
Central Salish,Gadus macrocephalus
Central Salish,Gadus morhua
Central Salish,Hippoglossus hippoglossus
Central Salish,Hippoglossus stenolepis
Central Salish,Melanogrammus aeglefinus
Central Salish,Micropogonias undulatus
Central Salish,Microstomus pacificus
Central Salish,Morone saxatillis
Central Salish,Mugil cephalus
Central Salish,Oncorhynchus gorbuscha
Central Salish,Oncorhynchus keta
Central Salish,Oncorhynchus kisutch
Central Salish,Oncorhynchus mykiss
Central Salish,Oncorhynchus nerka
Central Salish,Oncorhynchus tshawytscha
Central Salish,Pleuronectinae
Central Salish,Pomatomus saltatrix
Central Salish,Pseudopleuronectes americanus
Central Salish,Reinhardtius hippoglossoides
Central Salish,Salmo salar
Central Salish,Salvelinus fontinalis
Central Salish,Salvelinus namaycush
Central Salish,Sebastes norvegicus
Central Salish,Sebastes pinniger
Central Salish,Sebastes spp.
Central Salish,Sparidae
Central Salish,Squalus acanthias
Central Salish,Stenodus leucichthys
Central Salish,Thaleichthys pacificus
Central Salish,Thymallus arcticus
Cree,Boreogadus saida
Cree,Catostomus catostomus
Cree,Catostomus commersonii
Cree,Coregonus artedi
Cree,Coregonus autumnalis
Cree,Coregonus clupeaformis
Cree,Crassostrea virginica
Cree,Esox lucius
Cree,Gadiformes
Cree,Gadus macrocephalus
Cree,Gadus morhua
Cree,Lota lota
Cree,Melanogrammus aeglefinus
Cree,Oncorhynchus gorbuscha
Cree,Oncorhynchus keta
Cree,Oncorhynchus kisutch
Cree,Oncorhynchus mykiss
Cree,Oncorhynchus nerka
Cree,Oncorhynchus tshawytscha
Cree,Ostreidae
Cree,Perca flavescens
Cree,Percidae
