term,V1,V2,V3,V4,V5,V6,V7,V8,estimate,lower,upper,wip
body_partmuscle,+,+,+,+,+,+,+,+,-0.7506798493091793,-1.4490667094778682,-0.05229298914049074,1
body_partmuscle_organs,+,+,+,+,+,+,+,+,0.04377510678084477,-0.7675862757044741,0.8551364892661636,1
log_length,-0.2146815,NA,-0.1273254,-0.1630133,-0.1345914,-0.1939198,NA,NA,-0.19308669534948253,-0.41064341962972023,0.024470028930755172,0.760170091865728
bulk_trophic_level,0.14350198,0.16517230,NA,NA,NA,0.15257517,0.08006577,0.19444637,0.1492086046570766,-0.05588648030930196,0.35430368962345515,0.797219845282952
feeding_modepredator,NA,+,+,NA,NA,NA,NA,+,-0.2554475917326489,-1.0774739911998747,0.566578807734577,0.353324918913
feeding_modevariable,NA,+,+,NA,NA,NA,NA,+,0.25157101754057576,-0.5970509577339348,1.1001929928150864,0.353324918913
EnvTemppolar,NA,NA,NA,+,NA,NA,NA,NA,-0.19707048652667236,-1.19468718405858,0.8005462110052354,0.0457832122579696
EnvTempsubtropical,NA,NA,NA,+,NA,NA,NA,NA,0.303467718109365,-0.5501363014774938,1.1570717376962238,0.0457832122579696
EnvTemptemperate,NA,NA,NA,+,NA,NA,NA,NA,-0.17670681756714196,-0.9780467157920429,0.6246330806577589,0.0457832122579696
EnvTemptropical,NA,NA,NA,+,NA,NA,NA,NA,-0.037410798068070725,-0.898457264790371,0.8236356686542297,0.0457832122579696
DemersPelagdemersal,NA,NA,NA,NA,+,+,+,+,0.027973520712049338,-0.40378968033786533,0.459736721761964,0.0842782989490536
DemersPelagpelagic-neritic,NA,NA,NA,NA,+,+,+,+,0.24137637179087862,-0.3525331169709122,0.8352858605526694,0.0842782989490536
DemersPelagpelagic-oceanic,NA,NA,NA,NA,+,+,+,+,-0.09047495993929894,-0.7693204917050958,0.5883705718264978,0.0842782989490536
realm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,0.1590661,0.1617190,0.1550762,0.1723973,0.1498163,0.1647334,0.1415619,0.1731595,NA,NA,NA,NA
delta,0.000000,1.861137,2.831980,4.903262,5.884564,6.037036,7.073008,7.161292,NA,NA,NA,NA
weight,0.49962790,0.19701801,0.12125230,0.04304443,0.02635299,0.02441861,0.01454663,0.01391849,NA,NA,NA,NA
cum_weight,0.4996279,0.6966459,0.8178982,0.8609426,0.8872956,0.9117142,0.9262609,0.9401794,NA,NA,NA,NA
