term,wip,V1,V2,estimate,lower,upper
body_partmuscle,1.00,+,+,-2.48,-3.56,-1.39
body_partmuscle_organs,1.00,+,+,-1.45,-2.76,-0.14
feeding_modeplankton feeding,1.00,+,+,-0.51,-2.68,1.67
feeding_modepredator,1.00,+,+,-0.97,-3.15,1.21
feeding_modevariable,1.00,+,+,-1.02,-3.17,1.12
log_length,1.00,0.03,0.10,0.06,-0.18,0.29
EnvTemppolar,1.00,+,+,0.04,-1.12,1.20
EnvTempsubtropical,1.00,+,+,-0.18,-1.27,0.91
EnvTemptemperate,1.00,+,+,0.16,-0.90,1.22
EnvTemptropical,1.00,+,+,-0.10,-1.32,1.12
bulk_trophic_level,1.00,-0.01,-0.07,-0.03,-0.29,0.22
realmfresh,1.00,+,+,-1.76,-2.65,-0.87
realmfreshbrack,1.00,+,+,-1.64,-2.42,-0.87
realmfreshbrackmarine,1.00,+,+,0.06,-0.57,0.70
realmmarine,1.00,+,+,-0.21,-0.64,0.21
DemersPelagdemersal,0.33,NA,+,0.19,-0.25,0.62
DemersPelagpelagic-neritic,0.33,NA,+,0.71,0.12,1.30
DemersPelagpelagic-oceanic,0.33,NA,+,0.28,-0.38,0.95
R2.R2_pred,NA,0.46,0.48,NA,NA,NA
delta,NA,0.00,1.44,NA,NA,NA
weight,NA,0.63,0.31,NA,NA,NA
cum_weight,NA,0.63,0.93,NA,NA,NA
