term,wip,V1,V2,V3,V4,V5,V6,estimate,lower,upper
log_length,0.474651346,-0.3579177,NA,NA,-0.3680434,NA,NA,-0.3596114,-0.933977343,0.214754542
feeding_modepredator,1,+,+,+,+,+,+,0.29846436,-0.346836399,0.943765119
feeding_modevariable,1,+,+,+,+,+,+,0.927501997,0.249262898,1.605741097
bulk_trophic_level,0.440344439,NA,0.3751828,NA,NA,0.3760812,0.3981605,0.377143735,-0.279136522,1.033423993
DemersPelagdemersal,0.119993764,NA,NA,+,NA,NA,+,-0.221451514,-0.819855377,0.376952349
DemersPelagpelagic-neritic,0.119993764,NA,NA,+,NA,NA,+,0.261578517,-0.443477406,0.96663444
DemersPelagpelagic-oceanic,0.119993764,NA,NA,+,NA,NA,+,0.534000536,-0.241054298,1.30905537
body_partmuscle_organs,0.145621023,NA,NA,NA,+,+,NA,-0.03771506,-0.539020692,0.463590572
EnvTemp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,NA,0.3252006,0.317778,0.4108182,0.3267059,0.3179269,0.45541,NA,NA,NA
delta,NA,0,0.3063079,3.073667,3.2101959,3.5729241,4.8489698,NA,NA,NA
weight,NA,0.36414714,0.31243738,0.07831385,0.07314619,0.06101355,0.03223565,NA,NA,NA
cum_weight,NA,0.3641471,0.6765845,0.7548984,0.8280446,0.8890581,0.9212938,NA,NA,NA
