Nutrient,Crustacean,Crustacean n,Finfish,Finfish n,Mollusc,Mollusc n,All species,All species n
Calcium,25,20,31.03,174,35.29,34,31.14,228
DHA,30,30,72.47,287,62.5,24,68.04,341
EPA,34.38,32,43.75,288,70.83,24,44.77,344
Fat,4,50,11.59,509,0,53,9.97,612
Iron,50,22,18.78,181,91.89,37,32.92,240
Protein,100,34,100,351,100,45,100,430
Zinc,94.12,17,44.72,161,88.24,34,55.66,212
