term,V1,V2,V3,V4,V5,estimate,lower,upper,wip
bulk_trophic_level,0.6644535,NA,NA,0.4655799,NA,0.5878738888741625,-0.2564948278317859,1.432242605580111,0.457240496186003
EnvTemppolar,+,+,+,+,+,-2.6626007917501138,-4.344859337015734,-0.9803422464844938,1
EnvTempsubtropical,+,+,+,+,+,0.24186865018252623,-1.353032244612075,1.8367695449771275,1
EnvTemptemperate,+,+,+,+,+,-1.3019577925576762,-2.632167588566038,0.028252003450685237,1
EnvTemptropical,+,+,+,+,+,-1.5744385969919794,-2.871148355559103,-0.27772883842485574,1
log_length,NA,-0.6017443,NA,-0.7524892,-0.5284391,-0.6360637665802781,-1.3964703679924069,0.12434283483185071,0.534830318500662
feeding_modepredator,NA,NA,+,+,NA,0.7118275415934249,-0.10983779590572085,1.5334928790925706,0.360065202590928
feeding_modevariable,NA,NA,+,+,NA,0.9644971725599613,0.06608719308021271,1.8629071520397098,0.360065202590928
body_partmuscle,NA,NA,NA,NA,+,-0.11614214444798637,-1.2193355418122254,0.9870512529162525,0.111673444656135
body_partmuscle_organs,NA,NA,NA,NA,+,0.5533263286121497,-0.6304803728907398,1.7371330301150392,0.111673444656135
DemersPelag,NA,NA,NA,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,0.4912453,0.4874747,0.5268884,0.6185806,0.5615483,NA,NA,NA,NA
delta,0.0000000,0.2584405,0.8480956,0.9361960,1.8467788,NA,NA,NA,NA
weight,0.24943637,0.21919979,0.16322931,0.15619510,0.09906879,NA,NA,NA,NA
cum_weight,0.2494364,0.4686362,0.6318655,0.7880606,0.8871294,NA,NA,NA,NA
