term,wip,V1,V2,V3,V4,V5,estimate,lower,upper
bulk_trophic_level,0.46,0.66,NA,NA,0.47,NA,0.59,-0.26,1.43
EnvTemppolar,1.00,+,+,+,+,+,-2.66,-4.34,-0.98
EnvTempsubtropical,1.00,+,+,+,+,+,0.24,-1.35,1.84
EnvTemptemperate,1.00,+,+,+,+,+,-1.30,-2.63,0.03
EnvTemptropical,1.00,+,+,+,+,+,-1.57,-2.87,-0.28
log_length,0.53,NA,-0.60,NA,-0.75,-0.53,-0.64,-1.40,0.12
feeding_modepredator,0.36,NA,NA,+,+,NA,0.71,-0.11,1.53
feeding_modevariable,0.36,NA,NA,+,+,NA,0.96,0.07,1.86
body_partmuscle,0.11,NA,NA,NA,NA,+,-0.12,-1.22,0.99
body_partmuscle_organs,0.11,NA,NA,NA,NA,+,0.55,-0.63,1.74
DemersPelag,NA,NA,NA,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,NA,0.49,0.49,0.53,0.62,0.56,NA,NA,NA
delta,NA,0.00,0.26,0.85,0.94,1.85,NA,NA,NA
weight,NA,0.25,0.22,0.16,0.16,0.10,NA,NA,NA
cum_weight,NA,0.25,0.47,0.63,0.79,0.89,NA,NA,NA
