Culture,Abbreviation,Region,Language,Location,Number of species in diet
Abenaki,AB,Northeast,Algonquian,Quebec; Maine,29
Bella Coola,BC,Northwest Coast,Salishan,British Columbia,40
Central Salish,CS,Northwest Coast,Salishan,British Columbia; Washington,42
Cree,CR,Plains,Algonquian,Alberta; Saskatchewan,27
Cree,CR,Subarctic,Algonquian,Labrador; Quebec; Ontario; Manitoba; Saskatchewan; Alberta,27
Haida,HA,Northwest Coast,Unclassified,British Columbia; Alaska,36
Inuit-Inupiaq,II,Arctic,Eskimo-Aleut,Greenland; Alaska; Northwest Territories; Nunavut; Nunavik; Quebec; Labrador,52
Kwakiutl,KW,Northwest Coast,Wakashan,British Columbia,40
Micmac,MI,Northeast,Algonquian,Nova Scotia; New Brunswick; Quebec; Newfoundland,57
Montagnais-Naskapi,MN,Subarctic,Algonquian,Labrador; Quebec,25
Nootkan,NO,Northwest Coast,Wakashan,British Columbia; Washington,49
Tlingit,TL,Northwest Coast,Unclassified,British Columbia; Yukon; Alaska,51
Tsimshian,TS,Northwest Coast,Tsimshianic,British Columbia; Alaska,41
Wampanoag,WA,Northeast,Algonquian,Massachusetts,35
Yupik,YU,Arctic,Eskimo-Aleut,Siberia; Alaska,38
