nutrient,crustacean,finfish,mollusc
calcium,30,31.03448275862069,35.294117647058826
DHA,32.25806451612903,72.56944444444444,62.5
EPA,36.36363636363637,43.944636678200695,70.83333333333333
fat,4,11.984282907662083,NA
iron,50,18.784530386740332,91.89189189189189
protein,100,100,100
zinc,94.11764705882354,44.72049689440994,88.23529411764706
