term,wip,V1,V2,estimate,lower,upper
body_partmuscle,1.00,+,+,-2.04,-3.01,-1.07
body_partmuscle_organs,1.00,+,+,-1.45,-2.59,-0.30
feeding_modepredator,1.00,+,+,-0.33,-0.96,0.30
feeding_modevariable,1.00,+,+,-0.45,-1.18,0.27
log_length,1.00,0.03,-0.03,0.00,-0.21,0.21
DemersPelagdemersal,0.53,+,NA,-0.01,-0.38,0.37
DemersPelagpelagic-neritic,0.53,+,NA,0.66,0.14,1.18
DemersPelagpelagic-oceanic,0.53,+,NA,0.24,-0.35,0.82
bulk_trophic_level,1.00,0.04,0.08,0.06,-0.17,0.28
realmfresh,1.00,+,+,-0.95,-1.76,-0.15
realmfreshbrack,1.00,+,+,-1.32,-2.02,-0.62
realmfreshbrackmarine,1.00,+,+,-0.12,-0.71,0.47
realmmarine,1.00,+,+,0.03,-0.35,0.41
EnvTempsubtropical,1.00,+,+,0.27,-0.29,0.82
EnvTemptemperate,1.00,+,+,0.36,-0.19,0.90
EnvTemptropical,1.00,+,+,-0.09,-0.84,0.65
R2.R2_pred,NA,0.42,0.43,NA,NA,NA
delta,NA,0.00,0.23,NA,NA,NA
weight,NA,0.50,0.45,NA,NA,NA
cum_weight,NA,0.50,0.95,NA,NA,NA
