number_of_targets,number_of_species,threshold
0.27,1.0,80
0.65,2.0,80
0.93,3.0,80
1.22,4.0,80
1.42,5.0,80
1.66,6.0,80
1.88,7.0,80
2.09,8.0,80
2.23,9.0,80
2.36,10.0,80
2.47,11.0,80
2.69,12.0,80
2.76,13.0,80
2.81,14.0,80
2.9,15.0,80
2.96,16.0,80
3.05,17.0,80
3.08,18.0,80
3.13,19.0,80
3.22,20.0,80
3.26,21.0,80
3.3,22.0,80
3.34,23.0,80
3.39,24.0,80
3.46,25.0,80
3.53,26.0,80
3.6,27.0,80
3.63,28.0,80
3.68,29.0,80
3.71,30.0,80
3.73,31.0,80
3.76,32.0,80
3.78,33.0,80
3.82,34.0,80
3.86,35.0,80
3.87,36.0,80
3.87,37.0,80
3.87,38.0,80
3.87,39.0,80
3.91,40.0,80
3.95,41.0,80
3.97,42.0,80
3.99,43.0,80
3.99,44.0,80
4.0,45.0,80
4.02,46.0,80
4.04,47.0,80
4.06,48.0,80
4.08,49.0,80
4.1,50.0,80
4.11,51.0,80
4.13,52.0,80
4.17,53.0,80
4.21,54.0,80
4.24,55.0,80
4.26,56.0,80
4.27,57.0,80
4.31,58.0,80
4.33,59.0,80
4.36,60.0,80
4.36,61.0,80
4.38,62.0,80
4.38,63.0,80
4.39,64.0,80
4.41,65.0,80
4.42,66.0,80
4.43,67.0,80
4.44,68.0,80
4.45,69.0,80
4.48,70.0,80
4.51,71.0,80
4.53,72.0,80
4.56,73.0,80
4.58,74.0,80
4.59,75.0,80
4.59,76.0,80
4.59,77.0,80
4.6,78.0,80
4.6,79.0,80
4.62,80.0,80
4.64,81.0,80
4.64,82.0,80
4.65,83.0,80
4.68,84.0,80
4.7,85.0,80
4.7,86.0,80
4.72,87.0,80
4.74,88.0,80
4.76,89.0,80
4.77,90.0,80
4.77,91.0,80
4.78,92.0,80
4.79,93.0,80
4.79,94.0,80
4.82,95.0,80
4.83,96.0,80
4.84,97.0,80
4.86,98.0,80
4.88,99.0,80
4.91,100.0,80
4.92,101.0,80
4.92,102.0,80
4.96,103.0,80
4.96,104.0,80
4.97,105.0,80
4.97,106.0,80
4.97,107.0,80
5.0,108.0,80
