number_of_targets,number_of_species,threshold
0.48,1.0,59
0.94,2.0,59
1.41,3.0,59
1.64,4.0,59
2.01,5.0,59
2.19,6.0,59
2.34,7.0,59
2.5,8.0,59
2.7,9.0,59
2.93,10.0,59
3.09,11.0,59
3.16,12.0,59
3.26,13.0,59
3.4,14.0,59
3.5,15.0,59
3.58,16.0,59
3.74,17.0,59
3.81,18.0,59
3.89,19.0,59
3.92,20.0,59
4.04,21.0,59
4.09,22.0,59
4.12,23.0,59
4.17,24.0,59
4.19,25.0,59
4.25,26.0,59
4.29,27.0,59
4.35,28.0,59
4.37,29.0,59
4.4,30.0,59
4.43,31.0,59
4.48,32.0,59
4.53,33.0,59
4.55,34.0,59
4.58,35.0,59
4.61,36.0,59
4.61,37.0,59
4.64,38.0,59
4.66,39.0,59
4.68,40.0,59
4.7,41.0,59
4.74,42.0,59
4.74,43.0,59
4.75,44.0,59
4.77,45.0,59
4.79,46.0,59
4.8,47.0,59
4.8,48.0,59
4.84,49.0,59
4.85,50.0,59
4.86,51.0,59
4.88,52.0,59
4.89,53.0,59
4.91,54.0,59
4.92,55.0,59
4.92,56.0,59
4.92,57.0,59
4.93,58.0,59
4.93,59.0,59
4.94,60.0,59
4.95,61.0,59
4.96,62.0,59
4.97,63.0,59
4.97,64.0,59
4.98,65.0,59
4.98,66.0,59
4.99,67.0,59
4.99,68.0,59
4.99,69.0,59
5.0,70.0,59
5.0,71.0,59
5.0,72.0,59
5.0,73.0,59
5.0,74.0,59
5.0,75.0,59
5.0,76.0,59
5.0,77.0,59
5.0,78.0,59
5.0,79.0,59
5.0,80.0,59
5.0,81.0,59
5.0,82.0,59
5.0,83.0,59
5.0,84.0,59
5.0,85.0,59
5.0,86.0,59
5.0,87.0,59
5.0,88.0,59
5.0,89.0,59
5.0,90.0,59
5.0,91.0,59
5.0,92.0,59
5.0,93.0,59
5.0,94.0,59
5.0,95.0,59
5.0,96.0,59
5.0,97.0,59
5.0,98.0,59
5.0,99.0,59
5.0,100.0,59
5.0,101.0,59
5.0,102.0,59
5.0,103.0,59
5.0,104.0,59
5.0,105.0,59
5.0,106.0,59
5.0,107.0,59
5.0,108.0,59
