number_of_targets,number_of_species,threshold
0.49,1.0,61
0.92,2.0,61
1.32,3.0,61
1.62,4.0,61
1.92,5.0,61
2.19,6.0,61
2.54,7.0,61
2.71,8.0,61
2.82,9.0,61
2.97,10.0,61
3.11,11.0,61
3.29,12.0,61
3.4,13.0,61
3.49,14.0,61
3.59,15.0,61
3.73,16.0,61
3.77,17.0,61
3.91,18.0,61
3.94,19.0,61
4.0,20.0,61
4.05,21.0,61
4.09,22.0,61
4.17,23.0,61
4.2,24.0,61
4.23,25.0,61
4.26,26.0,61
4.32,27.0,61
4.34,28.0,61
4.34,29.0,61
4.35,30.0,61
4.37,31.0,61
4.37,32.0,61
4.4,33.0,61
4.44,34.0,61
4.53,35.0,61
4.54,36.0,61
4.59,37.0,61
4.59,38.0,61
4.6,39.0,61
4.65,40.0,61
4.69,41.0,61
4.71,42.0,61
4.71,43.0,61
4.73,44.0,61
4.78,45.0,61
4.84,46.0,61
4.85,47.0,61
4.86,48.0,61
4.86,49.0,61
4.87,50.0,61
4.88,51.0,61
4.88,52.0,61
4.88,53.0,61
4.89,54.0,61
4.9,55.0,61
4.91,56.0,61
4.93,57.0,61
4.93,58.0,61
4.94,59.0,61
4.95,60.0,61
4.95,61.0,61
4.96,62.0,61
4.97,63.0,61
4.97,64.0,61
4.97,65.0,61
4.98,66.0,61
4.99,67.0,61
4.99,68.0,61
4.99,69.0,61
4.99,70.0,61
4.99,71.0,61
4.99,72.0,61
4.99,73.0,61
4.99,74.0,61
4.99,75.0,61
4.99,76.0,61
4.99,77.0,61
4.99,78.0,61
5.0,79.0,61
5.0,80.0,61
5.0,81.0,61
5.0,82.0,61
5.0,83.0,61
5.0,84.0,61
5.0,85.0,61
5.0,86.0,61
5.0,87.0,61
5.0,88.0,61
5.0,89.0,61
5.0,90.0,61
5.0,91.0,61
5.0,92.0,61
5.0,93.0,61
5.0,94.0,61
5.0,95.0,61
5.0,96.0,61
5.0,97.0,61
5.0,98.0,61
5.0,99.0,61
5.0,100.0,61
5.0,101.0,61
5.0,102.0,61
5.0,103.0,61
5.0,104.0,61
5.0,105.0,61
5.0,106.0,61
5.0,107.0,61
5.0,108.0,61
