number_of_targets,number_of_species,threshold
0.69,1.0,44
1.04,2.0,44
1.42,3.0,44
1.86,4.0,44
2.32,5.0,44
2.61,6.0,44
2.9,7.0,44
3.12,8.0,44
3.28,9.0,44
3.45,10.0,44
3.51,11.0,44
3.58,12.0,44
3.74,13.0,44
3.78,14.0,44
3.93,15.0,44
4.11,16.0,44
4.17,17.0,44
4.23,18.0,44
4.3,19.0,44
4.34,20.0,44
4.36,21.0,44
4.4,22.0,44
4.45,23.0,44
4.5,24.0,44
4.51,25.0,44
4.56,26.0,44
4.6,27.0,44
4.62,28.0,44
4.64,29.0,44
4.71,30.0,44
4.74,31.0,44
4.77,32.0,44
4.78,33.0,44
4.81,34.0,44
4.82,35.0,44
4.87,36.0,44
4.9,37.0,44
4.91,38.0,44
4.91,39.0,44
4.91,40.0,44
4.92,41.0,44
4.92,42.0,44
4.93,43.0,44
4.93,44.0,44
4.94,45.0,44
4.94,46.0,44
4.94,47.0,44
4.94,48.0,44
4.95,49.0,44
4.96,50.0,44
4.97,51.0,44
4.97,52.0,44
4.97,53.0,44
4.97,54.0,44
4.98,55.0,44
4.98,56.0,44
4.98,57.0,44
4.98,58.0,44
4.99,59.0,44
4.99,60.0,44
5.0,61.0,44
5.0,62.0,44
5.0,63.0,44
5.0,64.0,44
5.0,65.0,44
5.0,66.0,44
5.0,67.0,44
5.0,68.0,44
5.0,69.0,44
5.0,70.0,44
5.0,71.0,44
5.0,72.0,44
5.0,73.0,44
5.0,74.0,44
5.0,75.0,44
5.0,76.0,44
5.0,77.0,44
5.0,78.0,44
5.0,79.0,44
5.0,80.0,44
5.0,81.0,44
5.0,82.0,44
5.0,83.0,44
5.0,84.0,44
5.0,85.0,44
5.0,86.0,44
5.0,87.0,44
5.0,88.0,44
5.0,89.0,44
5.0,90.0,44
5.0,91.0,44
5.0,92.0,44
5.0,93.0,44
5.0,94.0,44
5.0,95.0,44
5.0,96.0,44
5.0,97.0,44
5.0,98.0,44
5.0,99.0,44
5.0,100.0,44
5.0,101.0,44
5.0,102.0,44
5.0,103.0,44
5.0,104.0,44
5.0,105.0,44
5.0,106.0,44
5.0,107.0,44
5.0,108.0,44
