number_of_targets,number_of_species,threshold
0.91,1.0,40
1.51,2.0,40
1.83,3.0,40
2.36,4.0,40
2.56,5.0,40
2.87,6.0,40
3.11,7.0,40
3.37,8.0,40
3.62,9.0,40
3.78,10.0,40
3.94,11.0,40
4.11,12.0,40
4.19,13.0,40
4.35,14.0,40
4.42,15.0,40
4.46,16.0,40
4.48,17.0,40
4.52,18.0,40
4.57,19.0,40
4.59,20.0,40
4.61,21.0,40
4.61,22.0,40
4.65,23.0,40
4.73,24.0,40
4.76,25.0,40
4.78,26.0,40
4.81,27.0,40
4.82,28.0,40
4.85,29.0,40
4.86,30.0,40
4.89,31.0,40
4.92,32.0,40
4.92,33.0,40
4.95,34.0,40
4.95,35.0,40
4.95,36.0,40
4.97,37.0,40
4.97,38.0,40
4.97,39.0,40
4.97,40.0,40
4.97,41.0,40
4.97,42.0,40
4.98,43.0,40
4.98,44.0,40
4.98,45.0,40
4.99,46.0,40
4.99,47.0,40
4.99,48.0,40
4.99,49.0,40
4.99,50.0,40
4.99,51.0,40
4.99,52.0,40
4.99,53.0,40
4.99,54.0,40
4.99,55.0,40
4.99,56.0,40
4.99,57.0,40
4.99,58.0,40
4.99,59.0,40
4.99,60.0,40
4.99,61.0,40
5.0,62.0,40
5.0,63.0,40
5.0,64.0,40
5.0,65.0,40
5.0,66.0,40
5.0,67.0,40
5.0,68.0,40
5.0,69.0,40
5.0,70.0,40
5.0,71.0,40
5.0,72.0,40
5.0,73.0,40
5.0,74.0,40
5.0,75.0,40
5.0,76.0,40
5.0,77.0,40
5.0,78.0,40
5.0,79.0,40
5.0,80.0,40
5.0,81.0,40
5.0,82.0,40
5.0,83.0,40
5.0,84.0,40
5.0,85.0,40
5.0,86.0,40
5.0,87.0,40
5.0,88.0,40
5.0,89.0,40
5.0,90.0,40
5.0,91.0,40
5.0,92.0,40
5.0,93.0,40
5.0,94.0,40
5.0,95.0,40
5.0,96.0,40
5.0,97.0,40
5.0,98.0,40
5.0,99.0,40
5.0,100.0,40
5.0,101.0,40
5.0,102.0,40
5.0,103.0,40
5.0,104.0,40
5.0,105.0,40
5.0,106.0,40
5.0,107.0,40
5.0,108.0,40
