number_of_targets,number_of_species,threshold
0.57,1.0,69
0.9,2.0,69
1.12,3.0,69
1.44,4.0,69
1.66,5.0,69
1.97,6.0,69
2.18,7.0,69
2.29,8.0,69
2.48,9.0,69
2.6,10.0,69
2.77,11.0,69
2.88,12.0,69
3.05,13.0,69
3.16,14.0,69
3.26,15.0,69
3.34,16.0,69
3.43,17.0,69
3.46,18.0,69
3.51,19.0,69
3.6,20.0,69
3.7,21.0,69
3.73,22.0,69
3.78,23.0,69
3.83,24.0,69
3.87,25.0,69
3.89,26.0,69
3.95,27.0,69
3.95,28.0,69
3.98,29.0,69
4.01,30.0,69
4.06,31.0,69
4.12,32.0,69
4.17,33.0,69
4.2,34.0,69
4.25,35.0,69
4.3,36.0,69
4.33,37.0,69
4.36,38.0,69
4.4,39.0,69
4.44,40.0,69
4.46,41.0,69
4.5,42.0,69
4.52,43.0,69
4.54,44.0,69
4.55,45.0,69
4.57,46.0,69
4.57,47.0,69
4.59,48.0,69
4.61,49.0,69
4.64,50.0,69
4.64,51.0,69
4.65,52.0,69
4.65,53.0,69
4.66,54.0,69
4.67,55.0,69
4.69,56.0,69
4.7,57.0,69
4.7,58.0,69
4.7,59.0,69
4.74,60.0,69
4.75,61.0,69
4.76,62.0,69
4.77,63.0,69
4.77,64.0,69
4.78,65.0,69
4.78,66.0,69
4.8,67.0,69
4.8,68.0,69
4.8,69.0,69
4.81,70.0,69
4.83,71.0,69
4.84,72.0,69
4.87,73.0,69
4.88,74.0,69
4.88,75.0,69
4.9,76.0,69
4.92,77.0,69
4.93,78.0,69
4.94,79.0,69
4.94,80.0,69
4.95,81.0,69
4.95,82.0,69
4.96,83.0,69
4.96,84.0,69
4.96,85.0,69
4.96,86.0,69
4.97,87.0,69
4.97,88.0,69
4.97,89.0,69
4.98,90.0,69
4.98,91.0,69
4.98,92.0,69
5.0,93.0,69
5.0,94.0,69
5.0,95.0,69
5.0,96.0,69
5.0,97.0,69
5.0,98.0,69
5.0,99.0,69
5.0,100.0,69
5.0,101.0,69
5.0,102.0,69
5.0,103.0,69
5.0,104.0,69
5.0,105.0,69
5.0,106.0,69
5.0,107.0,69
5.0,108.0,69
