number_of_targets,number_of_species,threshold
0.59,1.0,65
1.06,2.0,65
1.42,3.0,65
1.78,4.0,65
2.21,5.0,65
2.36,6.0,65
2.58,7.0,65
2.7,8.0,65
2.83,9.0,65
2.98,10.0,65
3.05,11.0,65
3.11,12.0,65
3.19,13.0,65
3.27,14.0,65
3.33,15.0,65
3.44,16.0,65
3.51,17.0,65
3.56,18.0,65
3.64,19.0,65
3.69,20.0,65
3.74,21.0,65
3.79,22.0,65
3.84,23.0,65
3.86,24.0,65
3.9,25.0,65
3.94,26.0,65
3.99,27.0,65
4.04,28.0,65
4.13,29.0,65
4.16,30.0,65
4.19,31.0,65
4.21,32.0,65
4.26,33.0,65
4.32,34.0,65
4.33,35.0,65
4.36,36.0,65
4.38,37.0,65
4.4,38.0,65
4.45,39.0,65
4.46,40.0,65
4.5,41.0,65
4.5,42.0,65
4.53,43.0,65
4.56,44.0,65
4.59,45.0,65
4.61,46.0,65
4.62,47.0,65
4.62,48.0,65
4.66,49.0,65
4.67,50.0,65
4.7,51.0,65
4.72,52.0,65
4.72,53.0,65
4.74,54.0,65
4.74,55.0,65
4.75,56.0,65
4.76,57.0,65
4.77,58.0,65
4.77,59.0,65
4.79,60.0,65
4.81,61.0,65
4.81,62.0,65
4.83,63.0,65
4.84,64.0,65
4.85,65.0,65
4.88,66.0,65
4.88,67.0,65
4.88,68.0,65
4.91,69.0,65
4.92,70.0,65
4.94,71.0,65
4.94,72.0,65
4.95,73.0,65
4.95,74.0,65
4.95,75.0,65
4.95,76.0,65
4.95,77.0,65
4.95,78.0,65
4.96,79.0,65
4.97,80.0,65
4.97,81.0,65
4.97,82.0,65
4.98,83.0,65
4.98,84.0,65
4.98,85.0,65
4.98,86.0,65
4.98,87.0,65
4.98,88.0,65
4.99,89.0,65
4.99,90.0,65
5.0,91.0,65
5.0,92.0,65
5.0,93.0,65
5.0,94.0,65
5.0,95.0,65
5.0,96.0,65
5.0,97.0,65
5.0,98.0,65
5.0,99.0,65
5.0,100.0,65
5.0,101.0,65
5.0,102.0,65
5.0,103.0,65
5.0,104.0,65
5.0,105.0,65
5.0,106.0,65
5.0,107.0,65
5.0,108.0,65
