number_of_targets,number_of_species,threshold
0.41,1.0,55
0.88,2.0,55
1.5,3.0,55
1.83,4.0,55
2.04,5.0,55
2.17,6.0,55
2.53,7.0,55
2.72,8.0,55
2.88,9.0,55
3.06,10.0,55
3.16,11.0,55
3.28,12.0,55
3.42,13.0,55
3.52,14.0,55
3.64,15.0,55
3.7,16.0,55
3.77,17.0,55
3.81,18.0,55
3.89,19.0,55
3.96,20.0,55
4.03,21.0,55
4.09,22.0,55
4.14,23.0,55
4.2,24.0,55
4.3,25.0,55
4.38,26.0,55
4.41,27.0,55
4.49,28.0,55
4.52,29.0,55
4.63,30.0,55
4.69,31.0,55
4.74,32.0,55
4.76,33.0,55
4.77,34.0,55
4.78,35.0,55
4.79,36.0,55
4.83,37.0,55
4.85,38.0,55
4.86,39.0,55
4.89,40.0,55
4.9,41.0,55
4.91,42.0,55
4.91,43.0,55
4.91,44.0,55
4.92,45.0,55
4.95,46.0,55
4.97,47.0,55
4.97,48.0,55
4.98,49.0,55
4.98,50.0,55
4.98,51.0,55
4.98,52.0,55
4.98,53.0,55
4.98,54.0,55
4.98,55.0,55
4.98,56.0,55
4.98,57.0,55
4.99,58.0,55
4.99,59.0,55
5.0,60.0,55
5.0,61.0,55
5.0,62.0,55
5.0,63.0,55
5.0,64.0,55
5.0,65.0,55
5.0,66.0,55
5.0,67.0,55
5.0,68.0,55
5.0,69.0,55
5.0,70.0,55
5.0,71.0,55
5.0,72.0,55
5.0,73.0,55
5.0,74.0,55
5.0,75.0,55
5.0,76.0,55
5.0,77.0,55
5.0,78.0,55
5.0,79.0,55
5.0,80.0,55
5.0,81.0,55
5.0,82.0,55
5.0,83.0,55
5.0,84.0,55
5.0,85.0,55
5.0,86.0,55
5.0,87.0,55
5.0,88.0,55
5.0,89.0,55
5.0,90.0,55
5.0,91.0,55
5.0,92.0,55
5.0,93.0,55
5.0,94.0,55
5.0,95.0,55
5.0,96.0,55
5.0,97.0,55
5.0,98.0,55
5.0,99.0,55
5.0,100.0,55
5.0,101.0,55
5.0,102.0,55
5.0,103.0,55
5.0,104.0,55
5.0,105.0,55
5.0,106.0,55
5.0,107.0,55
5.0,108.0,55
