number_of_targets,number_of_species,threshold
0.84,1.0,43
1.49,2.0,43
2.04,3.0,43
2.39,4.0,43
2.61,5.0,43
2.8,6.0,43
3.06,7.0,43
3.19,8.0,43
3.34,9.0,43
3.55,10.0,43
3.71,11.0,43
3.85,12.0,43
3.93,13.0,43
4.04,14.0,43
4.13,15.0,43
4.19,16.0,43
4.26,17.0,43
4.29,18.0,43
4.31,19.0,43
4.35,20.0,43
4.38,21.0,43
4.42,22.0,43
4.51,23.0,43
4.58,24.0,43
4.58,25.0,43
4.6,26.0,43
4.67,27.0,43
4.76,28.0,43
4.78,29.0,43
4.78,30.0,43
4.79,31.0,43
4.82,32.0,43
4.82,33.0,43
4.82,34.0,43
4.82,35.0,43
4.88,36.0,43
4.89,37.0,43
4.9,38.0,43
4.92,39.0,43
4.93,40.0,43
4.94,41.0,43
4.95,42.0,43
4.95,43.0,43
4.95,44.0,43
4.95,45.0,43
4.95,46.0,43
4.95,47.0,43
4.95,48.0,43
4.95,49.0,43
4.96,50.0,43
4.97,51.0,43
4.97,52.0,43
4.97,53.0,43
4.98,54.0,43
4.98,55.0,43
4.98,56.0,43
4.98,57.0,43
4.98,58.0,43
4.98,59.0,43
4.99,60.0,43
4.99,61.0,43
4.99,62.0,43
4.99,63.0,43
4.99,64.0,43
4.99,65.0,43
4.99,66.0,43
4.99,67.0,43
4.99,68.0,43
4.99,69.0,43
4.99,70.0,43
4.99,71.0,43
4.99,72.0,43
4.99,73.0,43
4.99,74.0,43
4.99,75.0,43
5.0,76.0,43
5.0,77.0,43
5.0,78.0,43
5.0,79.0,43
5.0,80.0,43
5.0,81.0,43
5.0,82.0,43
5.0,83.0,43
5.0,84.0,43
5.0,85.0,43
5.0,86.0,43
5.0,87.0,43
5.0,88.0,43
5.0,89.0,43
5.0,90.0,43
5.0,91.0,43
5.0,92.0,43
5.0,93.0,43
5.0,94.0,43
5.0,95.0,43
5.0,96.0,43
5.0,97.0,43
5.0,98.0,43
5.0,99.0,43
5.0,100.0,43
5.0,101.0,43
5.0,102.0,43
5.0,103.0,43
5.0,104.0,43
5.0,105.0,43
5.0,106.0,43
5.0,107.0,43
5.0,108.0,43
