number_of_targets,number_of_species,threshold
0.44,1.0,96
0.85,2.0,96
1.11,3.0,96
1.39,4.0,96
1.52,5.0,96
1.71,6.0,96
1.92,7.0,96
2.01,8.0,96
2.15,9.0,96
2.26,10.0,96
2.35,11.0,96
2.46,12.0,96
2.52,13.0,96
2.58,14.0,96
2.64,15.0,96
2.66,16.0,96
2.7,17.0,96
2.76,18.0,96
2.81,19.0,96
2.87,20.0,96
2.96,21.0,96
3.0,22.0,96
3.03,23.0,96
3.07,24.0,96
3.15,25.0,96
3.2,26.0,96
3.24,27.0,96
3.26,28.0,96
3.33,29.0,96
3.36,30.0,96
3.38,31.0,96
3.42,32.0,96
3.51,33.0,96
3.53,34.0,96
3.58,35.0,96
3.6,36.0,96
3.61,37.0,96
3.62,38.0,96
3.63,39.0,96
3.66,40.0,96
3.72,41.0,96
3.75,42.0,96
3.81,43.0,96
3.84,44.0,96
3.87,45.0,96
3.89,46.0,96
3.93,47.0,96
3.98,48.0,96
4.02,49.0,96
4.05,50.0,96
4.05,51.0,96
4.07,52.0,96
4.1,53.0,96
4.11,54.0,96
4.12,55.0,96
4.12,56.0,96
4.15,57.0,96
4.19,58.0,96
4.2,59.0,96
4.21,60.0,96
4.25,61.0,96
4.27,62.0,96
4.27,63.0,96
4.3,64.0,96
4.31,65.0,96
4.33,66.0,96
4.35,67.0,96
4.37,68.0,96
4.39,69.0,96
4.42,70.0,96
4.44,71.0,96
4.46,72.0,96
4.49,73.0,96
4.5,74.0,96
4.54,75.0,96
4.57,76.0,96
4.58,77.0,96
4.6,78.0,96
4.61,79.0,96
4.62,80.0,96
4.63,81.0,96
4.64,82.0,96
4.67,83.0,96
4.71,84.0,96
4.75,85.0,96
4.77,86.0,96
4.77,87.0,96
4.78,88.0,96
4.8,89.0,96
4.82,90.0,96
4.83,91.0,96
4.85,92.0,96
4.85,93.0,96
4.86,94.0,96
4.86,95.0,96
4.89,96.0,96
4.89,97.0,96
4.9,98.0,96
4.9,99.0,96
4.91,100.0,96
4.91,101.0,96
4.94,102.0,96
4.94,103.0,96
4.94,104.0,96
4.96,105.0,96
4.97,106.0,96
4.99,107.0,96
5.0,108.0,96
