number_of_targets,number_of_species,threshold
0.37,1.0,95
0.78,2.0,95
0.94,3.0,95
1.2,4.0,95
1.52,5.0,95
1.71,6.0,95
1.9,7.0,95
1.97,8.0,95
2.06,9.0,95
2.27,10.0,95
2.35,11.0,95
2.44,12.0,95
2.5,13.0,95
2.56,14.0,95
2.62,15.0,95
2.64,16.0,95
2.67,17.0,95
2.77,18.0,95
2.83,19.0,95
2.93,20.0,95
2.97,21.0,95
3.02,22.0,95
3.06,23.0,95
3.15,24.0,95
3.18,25.0,95
3.2,26.0,95
3.24,27.0,95
3.28,28.0,95
3.32,29.0,95
3.4,30.0,95
3.44,31.0,95
3.5,32.0,95
3.57,33.0,95
3.6,34.0,95
3.63,35.0,95
3.65,36.0,95
3.71,37.0,95
3.73,38.0,95
3.75,39.0,95
3.77,40.0,95
3.8,41.0,95
3.82,42.0,95
3.83,43.0,95
3.84,44.0,95
3.87,45.0,95
3.9,46.0,95
3.91,47.0,95
3.95,48.0,95
3.96,49.0,95
3.98,50.0,95
4.02,51.0,95
4.05,52.0,95
4.08,53.0,95
4.1,54.0,95
4.15,55.0,95
4.18,56.0,95
4.19,57.0,95
4.22,58.0,95
4.27,59.0,95
4.3,60.0,95
4.31,61.0,95
4.32,62.0,95
4.34,63.0,95
4.34,64.0,95
4.36,65.0,95
4.36,66.0,95
4.4,67.0,95
4.42,68.0,95
4.42,69.0,95
4.44,70.0,95
4.45,71.0,95
4.47,72.0,95
4.49,73.0,95
4.5,74.0,95
4.51,75.0,95
4.52,76.0,95
4.53,77.0,95
4.55,78.0,95
4.6,79.0,95
4.62,80.0,95
4.63,81.0,95
4.63,82.0,95
4.64,83.0,95
4.65,84.0,95
4.68,85.0,95
4.69,86.0,95
4.7,87.0,95
4.71,88.0,95
4.71,89.0,95
4.74,90.0,95
4.76,91.0,95
4.79,92.0,95
4.81,93.0,95
4.82,94.0,95
4.82,95.0,95
4.85,96.0,95
4.88,97.0,95
4.9,98.0,95
4.91,99.0,95
4.93,100.0,95
4.94,101.0,95
4.95,102.0,95
4.95,103.0,95
4.98,104.0,95
4.98,105.0,95
4.98,106.0,95
4.99,107.0,95
5.0,108.0,95
