number_of_targets,number_of_species,threshold
0.78,1.0,39
1.41,2.0,39
1.99,3.0,39
2.46,4.0,39
2.81,5.0,39
3.1,6.0,39
3.24,7.0,39
3.44,8.0,39
3.6,9.0,39
3.73,10.0,39
3.89,11.0,39
4.09,12.0,39
4.22,13.0,39
4.28,14.0,39
4.44,15.0,39
4.57,16.0,39
4.63,17.0,39
4.66,18.0,39
4.69,19.0,39
4.71,20.0,39
4.73,21.0,39
4.75,22.0,39
4.8,23.0,39
4.82,24.0,39
4.82,25.0,39
4.84,26.0,39
4.88,27.0,39
4.9,28.0,39
4.91,29.0,39
4.93,30.0,39
4.94,31.0,39
4.95,32.0,39
4.97,33.0,39
4.97,34.0,39
4.98,35.0,39
4.98,36.0,39
4.99,37.0,39
4.99,38.0,39
4.99,39.0,39
5.0,40.0,39
5.0,41.0,39
5.0,42.0,39
5.0,43.0,39
5.0,44.0,39
5.0,45.0,39
5.0,46.0,39
5.0,47.0,39
5.0,48.0,39
5.0,49.0,39
5.0,50.0,39
5.0,51.0,39
5.0,52.0,39
5.0,53.0,39
5.0,54.0,39
5.0,55.0,39
5.0,56.0,39
5.0,57.0,39
5.0,58.0,39
5.0,59.0,39
5.0,60.0,39
5.0,61.0,39
5.0,62.0,39
5.0,63.0,39
5.0,64.0,39
5.0,65.0,39
5.0,66.0,39
5.0,67.0,39
5.0,68.0,39
5.0,69.0,39
5.0,70.0,39
5.0,71.0,39
5.0,72.0,39
5.0,73.0,39
5.0,74.0,39
5.0,75.0,39
5.0,76.0,39
5.0,77.0,39
5.0,78.0,39
5.0,79.0,39
5.0,80.0,39
5.0,81.0,39
5.0,82.0,39
5.0,83.0,39
5.0,84.0,39
5.0,85.0,39
5.0,86.0,39
5.0,87.0,39
5.0,88.0,39
5.0,89.0,39
5.0,90.0,39
5.0,91.0,39
5.0,92.0,39
5.0,93.0,39
5.0,94.0,39
5.0,95.0,39
5.0,96.0,39
5.0,97.0,39
5.0,98.0,39
5.0,99.0,39
5.0,100.0,39
5.0,101.0,39
5.0,102.0,39
5.0,103.0,39
5.0,104.0,39
5.0,105.0,39
5.0,106.0,39
5.0,107.0,39
5.0,108.0,39
