number_of_targets,number_of_species,threshold
1.78,1.0,17
2.72,2.0,17
3.37,3.0,17
3.7,4.0,17
3.99,5.0,17
4.31,6.0,17
4.39,7.0,17
4.46,8.0,17
4.58,9.0,17
4.67,10.0,17
4.77,11.0,17
4.79,12.0,17
4.84,13.0,17
4.87,14.0,17
4.91,15.0,17
4.91,16.0,17
4.96,17.0,17
4.97,18.0,17
4.99,19.0,17
4.99,20.0,17
4.99,21.0,17
4.99,22.0,17
4.99,23.0,17
4.99,24.0,17
4.99,25.0,17
4.99,26.0,17
4.99,27.0,17
4.99,28.0,17
4.99,29.0,17
4.99,30.0,17
5.0,31.0,17
5.0,32.0,17
5.0,33.0,17
5.0,34.0,17
5.0,35.0,17
5.0,36.0,17
5.0,37.0,17
5.0,38.0,17
5.0,39.0,17
5.0,40.0,17
5.0,41.0,17
5.0,42.0,17
5.0,43.0,17
5.0,44.0,17
5.0,45.0,17
5.0,46.0,17
5.0,47.0,17
5.0,48.0,17
5.0,49.0,17
5.0,50.0,17
5.0,51.0,17
5.0,52.0,17
5.0,53.0,17
5.0,54.0,17
5.0,55.0,17
5.0,56.0,17
5.0,57.0,17
5.0,58.0,17
5.0,59.0,17
5.0,60.0,17
5.0,61.0,17
5.0,62.0,17
5.0,63.0,17
5.0,64.0,17
5.0,65.0,17
5.0,66.0,17
5.0,67.0,17
5.0,68.0,17
5.0,69.0,17
5.0,70.0,17
5.0,71.0,17
5.0,72.0,17
5.0,73.0,17
5.0,74.0,17
5.0,75.0,17
5.0,76.0,17
5.0,77.0,17
5.0,78.0,17
5.0,79.0,17
5.0,80.0,17
5.0,81.0,17
5.0,82.0,17
5.0,83.0,17
5.0,84.0,17
5.0,85.0,17
5.0,86.0,17
5.0,87.0,17
5.0,88.0,17
5.0,89.0,17
5.0,90.0,17
5.0,91.0,17
5.0,92.0,17
5.0,93.0,17
5.0,94.0,17
5.0,95.0,17
5.0,96.0,17
5.0,97.0,17
5.0,98.0,17
5.0,99.0,17
5.0,100.0,17
5.0,101.0,17
5.0,102.0,17
5.0,103.0,17
5.0,104.0,17
5.0,105.0,17
5.0,106.0,17
5.0,107.0,17
5.0,108.0,17
