number_of_targets,number_of_species,threshold
0.49,1.0,82
0.91,2.0,82
1.29,3.0,82
1.53,4.0,82
1.81,5.0,82
2.02,6.0,82
2.14,7.0,82
2.23,8.0,82
2.32,9.0,82
2.43,10.0,82
2.54,11.0,82
2.59,12.0,82
2.64,13.0,82
2.69,14.0,82
2.77,15.0,82
2.83,16.0,82
2.93,17.0,82
2.97,18.0,82
3.01,19.0,82
3.05,20.0,82
3.11,21.0,82
3.14,22.0,82
3.2,23.0,82
3.25,24.0,82
3.31,25.0,82
3.35,26.0,82
3.41,27.0,82
3.43,28.0,82
3.46,29.0,82
3.51,30.0,82
3.51,31.0,82
3.55,32.0,82
3.58,33.0,82
3.6,34.0,82
3.62,35.0,82
3.68,36.0,82
3.71,37.0,82
3.73,38.0,82
3.75,39.0,82
3.77,40.0,82
3.81,41.0,82
3.86,42.0,82
3.88,43.0,82
3.93,44.0,82
3.96,45.0,82
3.99,46.0,82
4.02,47.0,82
4.06,48.0,82
4.08,49.0,82
4.11,50.0,82
4.11,51.0,82
4.14,52.0,82
4.16,53.0,82
4.18,54.0,82
4.21,55.0,82
4.23,56.0,82
4.25,57.0,82
4.26,58.0,82
4.27,59.0,82
4.33,60.0,82
4.37,61.0,82
4.4,62.0,82
4.42,63.0,82
4.46,64.0,82
4.5,65.0,82
4.52,66.0,82
4.54,67.0,82
4.55,68.0,82
4.57,69.0,82
4.59,70.0,82
4.59,71.0,82
4.59,72.0,82
4.59,73.0,82
4.62,74.0,82
4.65,75.0,82
4.66,76.0,82
4.67,77.0,82
4.67,78.0,82
4.69,79.0,82
4.71,80.0,82
4.71,81.0,82
4.72,82.0,82
4.74,83.0,82
4.75,84.0,82
4.76,85.0,82
4.76,86.0,82
4.78,87.0,82
4.8,88.0,82
4.83,89.0,82
4.85,90.0,82
4.85,91.0,82
4.85,92.0,82
4.87,93.0,82
4.89,94.0,82
4.89,95.0,82
4.9,96.0,82
4.91,97.0,82
4.93,98.0,82
4.93,99.0,82
4.93,100.0,82
4.94,101.0,82
4.94,102.0,82
4.96,103.0,82
4.98,104.0,82
4.98,105.0,82
4.99,106.0,82
4.99,107.0,82
5.0,108.0,82
