number_of_targets,number_of_species,threshold
0.43,1.0,57
1.16,2.0,57
1.49,3.0,57
1.89,4.0,57
2.19,5.0,57
2.42,6.0,57
2.55,7.0,57
2.71,8.0,57
2.84,9.0,57
3.07,10.0,57
3.24,11.0,57
3.36,12.0,57
3.52,13.0,57
3.57,14.0,57
3.61,15.0,57
3.68,16.0,57
3.7,17.0,57
3.83,18.0,57
3.89,19.0,57
3.95,20.0,57
4.02,21.0,57
4.1,22.0,57
4.17,23.0,57
4.26,24.0,57
4.29,25.0,57
4.34,26.0,57
4.36,27.0,57
4.4,28.0,57
4.45,29.0,57
4.47,30.0,57
4.48,31.0,57
4.52,32.0,57
4.53,33.0,57
4.56,34.0,57
4.59,35.0,57
4.62,36.0,57
4.67,37.0,57
4.72,38.0,57
4.76,39.0,57
4.77,40.0,57
4.77,41.0,57
4.77,42.0,57
4.79,43.0,57
4.82,44.0,57
4.84,45.0,57
4.86,46.0,57
4.87,47.0,57
4.87,48.0,57
4.89,49.0,57
4.9,50.0,57
4.91,51.0,57
4.93,52.0,57
4.93,53.0,57
4.93,54.0,57
4.93,55.0,57
4.94,56.0,57
4.94,57.0,57
4.95,58.0,57
4.95,59.0,57
4.95,60.0,57
4.96,61.0,57
4.96,62.0,57
4.97,63.0,57
4.97,64.0,57
4.98,65.0,57
4.99,66.0,57
4.99,67.0,57
4.99,68.0,57
4.99,69.0,57
4.99,70.0,57
4.99,71.0,57
4.99,72.0,57
5.0,73.0,57
5.0,74.0,57
5.0,75.0,57
5.0,76.0,57
5.0,77.0,57
5.0,78.0,57
5.0,79.0,57
5.0,80.0,57
5.0,81.0,57
5.0,82.0,57
5.0,83.0,57
5.0,84.0,57
5.0,85.0,57
5.0,86.0,57
5.0,87.0,57
5.0,88.0,57
5.0,89.0,57
5.0,90.0,57
5.0,91.0,57
5.0,92.0,57
5.0,93.0,57
5.0,94.0,57
5.0,95.0,57
5.0,96.0,57
5.0,97.0,57
5.0,98.0,57
5.0,99.0,57
5.0,100.0,57
5.0,101.0,57
5.0,102.0,57
5.0,103.0,57
5.0,104.0,57
5.0,105.0,57
5.0,106.0,57
5.0,107.0,57
5.0,108.0,57
