number_of_targets,number_of_species,threshold
0.57,1.0,58
1.0,2.0,58
1.44,3.0,58
1.69,4.0,58
2.0,5.0,58
2.28,6.0,58
2.49,7.0,58
2.79,8.0,58
3.01,9.0,58
3.21,10.0,58
3.33,11.0,58
3.45,12.0,58
3.56,13.0,58
3.63,14.0,58
3.71,15.0,58
3.77,16.0,58
3.85,17.0,58
3.95,18.0,58
4.01,19.0,58
4.05,20.0,58
4.14,21.0,58
4.2,22.0,58
4.28,23.0,58
4.32,24.0,58
4.33,25.0,58
4.39,26.0,58
4.42,27.0,58
4.45,28.0,58
4.47,29.0,58
4.48,30.0,58
4.49,31.0,58
4.51,32.0,58
4.57,33.0,58
4.6,34.0,58
4.62,35.0,58
4.64,36.0,58
4.68,37.0,58
4.71,38.0,58
4.73,39.0,58
4.73,40.0,58
4.75,41.0,58
4.75,42.0,58
4.79,43.0,58
4.8,44.0,58
4.81,45.0,58
4.84,46.0,58
4.87,47.0,58
4.88,48.0,58
4.89,49.0,58
4.9,50.0,58
4.91,51.0,58
4.92,52.0,58
4.93,53.0,58
4.93,54.0,58
4.94,55.0,58
4.97,56.0,58
4.97,57.0,58
4.97,58.0,58
4.97,59.0,58
4.97,60.0,58
4.98,61.0,58
4.99,62.0,58
5.0,63.0,58
5.0,64.0,58
5.0,65.0,58
5.0,66.0,58
5.0,67.0,58
5.0,68.0,58
5.0,69.0,58
5.0,70.0,58
5.0,71.0,58
5.0,72.0,58
5.0,73.0,58
5.0,74.0,58
5.0,75.0,58
5.0,76.0,58
5.0,77.0,58
5.0,78.0,58
5.0,79.0,58
5.0,80.0,58
5.0,81.0,58
5.0,82.0,58
5.0,83.0,58
5.0,84.0,58
5.0,85.0,58
5.0,86.0,58
5.0,87.0,58
5.0,88.0,58
5.0,89.0,58
5.0,90.0,58
5.0,91.0,58
5.0,92.0,58
5.0,93.0,58
5.0,94.0,58
5.0,95.0,58
5.0,96.0,58
5.0,97.0,58
5.0,98.0,58
5.0,99.0,58
5.0,100.0,58
5.0,101.0,58
5.0,102.0,58
5.0,103.0,58
5.0,104.0,58
5.0,105.0,58
5.0,106.0,58
5.0,107.0,58
5.0,108.0,58
