number_of_targets,number_of_species,threshold
0.71,1.0,51
1.25,2.0,51
1.79,3.0,51
2.15,4.0,51
2.39,5.0,51
2.6,6.0,51
2.82,7.0,51
3.03,8.0,51
3.19,9.0,51
3.3,10.0,51
3.43,11.0,51
3.54,12.0,51
3.57,13.0,51
3.74,14.0,51
3.86,15.0,51
3.97,16.0,51
4.09,17.0,51
4.15,18.0,51
4.2,19.0,51
4.24,20.0,51
4.27,21.0,51
4.34,22.0,51
4.37,23.0,51
4.43,24.0,51
4.5,25.0,51
4.55,26.0,51
4.59,27.0,51
4.6,28.0,51
4.64,29.0,51
4.66,30.0,51
4.67,31.0,51
4.7,32.0,51
4.72,33.0,51
4.78,34.0,51
4.79,35.0,51
4.79,36.0,51
4.82,37.0,51
4.85,38.0,51
4.9,39.0,51
4.9,40.0,51
4.9,41.0,51
4.91,42.0,51
4.91,43.0,51
4.91,44.0,51
4.92,45.0,51
4.93,46.0,51
4.93,47.0,51
4.93,48.0,51
4.93,49.0,51
4.94,50.0,51
4.94,51.0,51
4.95,52.0,51
4.95,53.0,51
4.95,54.0,51
4.96,55.0,51
4.96,56.0,51
4.96,57.0,51
4.98,58.0,51
4.98,59.0,51
4.99,60.0,51
4.99,61.0,51
4.99,62.0,51
4.99,63.0,51
4.99,64.0,51
4.99,65.0,51
4.99,66.0,51
4.99,67.0,51
4.99,68.0,51
4.99,69.0,51
4.99,70.0,51
4.99,71.0,51
4.99,72.0,51
4.99,73.0,51
4.99,74.0,51
4.99,75.0,51
4.99,76.0,51
5.0,77.0,51
5.0,78.0,51
5.0,79.0,51
5.0,80.0,51
5.0,81.0,51
5.0,82.0,51
5.0,83.0,51
5.0,84.0,51
5.0,85.0,51
5.0,86.0,51
5.0,87.0,51
5.0,88.0,51
5.0,89.0,51
5.0,90.0,51
5.0,91.0,51
5.0,92.0,51
5.0,93.0,51
5.0,94.0,51
5.0,95.0,51
5.0,96.0,51
5.0,97.0,51
5.0,98.0,51
5.0,99.0,51
5.0,100.0,51
5.0,101.0,51
5.0,102.0,51
5.0,103.0,51
5.0,104.0,51
5.0,105.0,51
5.0,106.0,51
5.0,107.0,51
5.0,108.0,51
