number_of_targets,number_of_species,threshold
0.35,1.0,99
0.68,2.0,99
0.99,3.0,99
1.27,4.0,99
1.4,5.0,99
1.56,6.0,99
1.71,7.0,99
1.89,8.0,99
2.07,9.0,99
2.18,10.0,99
2.28,11.0,99
2.37,12.0,99
2.43,13.0,99
2.53,14.0,99
2.56,15.0,99
2.6,16.0,99
2.62,17.0,99
2.65,18.0,99
2.72,19.0,99
2.74,20.0,99
2.77,21.0,99
2.78,22.0,99
2.82,23.0,99
2.89,24.0,99
2.93,25.0,99
2.98,26.0,99
3.04,27.0,99
3.1,28.0,99
3.14,29.0,99
3.19,30.0,99
3.26,31.0,99
3.31,32.0,99
3.32,33.0,99
3.33,34.0,99
3.35,35.0,99
3.38,36.0,99
3.4,37.0,99
3.42,38.0,99
3.45,39.0,99
3.46,40.0,99
3.48,41.0,99
3.52,42.0,99
3.57,43.0,99
3.58,44.0,99
3.59,45.0,99
3.65,46.0,99
3.67,47.0,99
3.68,48.0,99
3.7,49.0,99
3.71,50.0,99
3.74,51.0,99
3.74,52.0,99
3.78,53.0,99
3.82,54.0,99
3.87,55.0,99
3.92,56.0,99
3.98,57.0,99
4.01,58.0,99
4.04,59.0,99
4.06,60.0,99
4.07,61.0,99
4.1,62.0,99
4.14,63.0,99
4.14,64.0,99
4.16,65.0,99
4.21,66.0,99
4.26,67.0,99
4.26,68.0,99
4.28,69.0,99
4.3,70.0,99
4.32,71.0,99
4.36,72.0,99
4.39,73.0,99
4.43,74.0,99
4.44,75.0,99
4.45,76.0,99
4.49,77.0,99
4.52,78.0,99
4.54,79.0,99
4.56,80.0,99
4.57,81.0,99
4.63,82.0,99
4.67,83.0,99
4.72,84.0,99
4.76,85.0,99
4.76,86.0,99
4.78,87.0,99
4.79,88.0,99
4.8,89.0,99
4.81,90.0,99
4.84,91.0,99
4.84,92.0,99
4.86,93.0,99
4.86,94.0,99
4.87,95.0,99
4.88,96.0,99
4.89,97.0,99
4.89,98.0,99
4.91,99.0,99
4.92,100.0,99
4.92,101.0,99
4.93,102.0,99
4.98,103.0,99
4.98,104.0,99
4.98,105.0,99
4.98,106.0,99
4.99,107.0,99
5.0,108.0,99
