number_of_targets,number_of_species,threshold
0.41,1.0,101
0.9,2.0,101
1.1,3.0,101
1.29,4.0,101
1.51,5.0,101
1.62,6.0,101
1.83,7.0,101
1.9,8.0,101
2.0,9.0,101
2.07,10.0,101
2.11,11.0,101
2.23,12.0,101
2.33,13.0,101
2.41,14.0,101
2.47,15.0,101
2.5,16.0,101
2.52,17.0,101
2.54,18.0,101
2.58,19.0,101
2.64,20.0,101
2.66,21.0,101
2.68,22.0,101
2.68,23.0,101
2.71,24.0,101
2.74,25.0,101
2.78,26.0,101
2.8,27.0,101
2.8,28.0,101
2.83,29.0,101
2.88,30.0,101
2.93,31.0,101
2.95,32.0,101
2.98,33.0,101
3.04,34.0,101
3.11,35.0,101
3.16,36.0,101
3.2,37.0,101
3.28,38.0,101
3.33,39.0,101
3.37,40.0,101
3.38,41.0,101
3.41,42.0,101
3.44,43.0,101
3.49,44.0,101
3.49,45.0,101
3.54,46.0,101
3.58,47.0,101
3.61,48.0,101
3.64,49.0,101
3.68,50.0,101
3.7,51.0,101
3.74,52.0,101
3.76,53.0,101
3.82,54.0,101
3.84,55.0,101
3.85,56.0,101
3.85,57.0,101
3.89,58.0,101
3.94,59.0,101
3.96,60.0,101
3.97,61.0,101
4.01,62.0,101
4.04,63.0,101
4.06,64.0,101
4.08,65.0,101
4.09,66.0,101
4.12,67.0,101
4.16,68.0,101
4.2,69.0,101
4.23,70.0,101
4.25,71.0,101
4.27,72.0,101
4.32,73.0,101
4.35,74.0,101
4.36,75.0,101
4.38,76.0,101
4.41,77.0,101
4.42,78.0,101
4.45,79.0,101
4.45,80.0,101
4.5,81.0,101
4.5,82.0,101
4.53,83.0,101
4.58,84.0,101
4.61,85.0,101
4.63,86.0,101
4.63,87.0,101
4.68,88.0,101
4.68,89.0,101
4.68,90.0,101
4.68,91.0,101
4.7,92.0,101
4.71,93.0,101
4.72,94.0,101
4.75,95.0,101
4.79,96.0,101
4.8,97.0,101
4.82,98.0,101
4.85,99.0,101
4.87,100.0,101
4.89,101.0,101
4.92,102.0,101
4.93,103.0,101
4.94,104.0,101
4.94,105.0,101
4.96,106.0,101
4.97,107.0,101
5.0,108.0,101
