number_of_targets,number_of_species,threshold
0.54,1.0,76
0.72,2.0,76
1.11,3.0,76
1.42,4.0,76
1.68,5.0,76
1.8,6.0,76
2.03,7.0,76
2.15,8.0,76
2.19,9.0,76
2.3,10.0,76
2.37,11.0,76
2.51,12.0,76
2.63,13.0,76
2.76,14.0,76
2.81,15.0,76
2.89,16.0,76
2.94,17.0,76
3.02,18.0,76
3.12,19.0,76
3.15,20.0,76
3.22,21.0,76
3.28,22.0,76
3.32,23.0,76
3.34,24.0,76
3.38,25.0,76
3.42,26.0,76
3.44,27.0,76
3.47,28.0,76
3.48,29.0,76
3.52,30.0,76
3.54,31.0,76
3.57,32.0,76
3.6,33.0,76
3.62,34.0,76
3.64,35.0,76
3.7,36.0,76
3.71,37.0,76
3.74,38.0,76
3.75,39.0,76
3.79,40.0,76
3.82,41.0,76
3.84,42.0,76
3.87,43.0,76
3.92,44.0,76
3.93,45.0,76
3.97,46.0,76
3.98,47.0,76
4.01,48.0,76
4.01,49.0,76
4.04,50.0,76
4.05,51.0,76
4.06,52.0,76
4.11,53.0,76
4.14,54.0,76
4.14,55.0,76
4.16,56.0,76
4.19,57.0,76
4.2,58.0,76
4.23,59.0,76
4.25,60.0,76
4.27,61.0,76
4.29,62.0,76
4.3,63.0,76
4.38,64.0,76
4.41,65.0,76
4.42,66.0,76
4.44,67.0,76
4.46,68.0,76
4.5,69.0,76
4.5,70.0,76
4.52,71.0,76
4.54,72.0,76
4.59,73.0,76
4.6,74.0,76
4.6,75.0,76
4.63,76.0,76
4.63,77.0,76
4.63,78.0,76
4.64,79.0,76
4.65,80.0,76
4.66,81.0,76
4.67,82.0,76
4.69,83.0,76
4.72,84.0,76
4.74,85.0,76
4.74,86.0,76
4.75,87.0,76
4.75,88.0,76
4.76,89.0,76
4.78,90.0,76
4.79,91.0,76
4.82,92.0,76
4.82,93.0,76
4.84,94.0,76
4.85,95.0,76
4.89,96.0,76
4.89,97.0,76
4.9,98.0,76
4.91,99.0,76
4.92,100.0,76
4.92,101.0,76
4.93,102.0,76
4.96,103.0,76
4.97,104.0,76
4.98,105.0,76
5.0,106.0,76
5.0,107.0,76
5.0,108.0,76
