nutrient,unit,Ilish,Jatka Ilish,Jat Punti,Kajuli<comma> Bashpata,Koi,Modhu Pabda,Parse,Rani<comma> Bou,Thai Pangas,MajhariThai Pangas
Total fat (mean),g,18.3,7.7,7.2,12.6,12.8,9.5,14.3,10.6,17.7,1.4
Total PUFA,g,3.6,1.6,2.5,2.1,1.9,1.7,2.7,2.7,2.6,0.5
Total n-6 PUFA,mg,486,276,1974,827,1324,1143,550,818,2157,178
C20:5n-3 (EPA),mg,1200,430,40,160,30,68,400,96,13,38
C22:6n-3 (DHA),mg,310,230,86,190,170,100,120,120,37,60
Total n-3 PUFA,mg,2034,875,329,1006,377,402,1435,719,244,211
