species_name,type,Energy,Protein,Fat,Moisture,Ash
Baim,SIS,381,17.9,1.7,78.6,1
Bele,SIS,292,16.6,0.4,80.3,3.1
Boro Kholisha,SIS,354,15.2,2.5,77,5.2
Chanda,SIS,400,15.5,3.8,76.2,4.7
Chapila,SIS,385,15.5,3.8,78.4,3.4
Chela,SIS,349,15.2,2.4,79.4,2.9
Darkina,SIS,384,15.5,3.2,77.1,4.2
Dhela,SIS,387,14.7,3.8,78.1,3.7
Ekthute,SIS,360,17.9,1.7,76.7,4.1
Foli,SIS,384,20.5,0.6,76.7,1.4
Golsha,SIS,479,16.8,5.1,76.8,1
Guchi,SIS,394,17.9,2.6,77.7,2.2
Gutum,SIS,431,17.2,3.9,76.7,2.6
Jat Punti,SIS,541,15.7,7.2,73.2,3.5
Kachki,SIS,267,11.9,1.9,85.4,1.7
Kajuli,SIS,751,17.1,12.6,70,0.7
Kakila,SIS,329,17.1,1.2,80.2,1.8
Koi,SIS,737,15.5,12.8,70.5,1
Kuli,SIS,330,16.9,1.2,78.9,3.1
Magur,SIS,326,16.5,1.3,81.3,1.1
Meni,SIS,338,16.7,1.7,78.5,3.6
Modhu Pabda,SIS,619,16.2,9.5,73.9,0.9
Mola,SIS,445,17.3,4.5,75.6,3.5
Mola (cultured),SIS,412,14.7,4.6,77.3,4
Rani,SIS,654,14.9,10.6,70.8,3.2
Shing,SIS,374,19.1,1.9,79.2,1
Taki,SIS,306,18.3,0.6,80.7,2.1
Tara Baim,SIS,387,17.2,2.6,79.4,2.3
Tengra,SIS,428,15.1,4.6,76.6,3.7
Tit Punti,SIS,385,15.4,3.4,77.5,3.8
Gojar,large,286,17.1,0.3,82.6,1
Ilish,large,1020,16.4,18.3,60.2,1.4
Jatka Ilish,large,618,19,7.7,71.8,2.5
Shol,large,310,18.7,0.3,81,1.2
Harina Chingri,large,333,17.6,1,79.5,2.2
Najari Icha,large,364,15.7,2.2,77.9,3.3
Catla,aquaculture,267,14.9,0.7,84.1,1
Mrigal,aquaculture,363,18.9,1.1,78.9,1.1
Rui,aquaculture,422,18.2,3,77.7,1
Common Carp,aquaculture,381,16.4,2.9,80,1
Grass Carp,aquaculture,341,15.2,1.1,80.2,1.1
Silver Carp,aquaculture,435,17.2,4.1,77.8,1.5
Thai Pangas,aquaculture,925,16,17.7,65.5,0.9
Majhari Thai Pangas,aquaculture,360,18.6,1.4,79.2,1.4
Thai Sharpunti,aquaculture,466,18.4,4.4,76.2,1.6
Tilapia,aquaculture,390,19.5,2,77.6,1.8
Majhari Tilapia,aquaculture,412,19,2.6,77.5,1.3
Foli Chanda,marine,320,17.2,0.9,82.1,0.7
Kata Phasa,marine,357,17.6,2.1,77.4,4.1
Lal Poa,marine,381,18.1,2.4,75.2,5.3
Maita,marine,405,20.5,1.1,76.5,1
Murbaila,marine,310,18.8,0.3,80.6,1.6
Parse,marine,813,16.1,14.3,67.8,1.2
Tailla,marine,425,20.6,2.2,76.5,1.1
Tular Dandi,marine,345,19.3,0.6,78.8,1.6
