number_of_species,mean_targets,low,high
1,4.71289,4.6038499999999996,4.8123000000000005
2,4.96642,4.928475000000001,4.988
3,4.99507,4.985,5
4,4.999,4.995475,5
5,4.99982,4.998475,5
6,4.99998,5,5
7,4.99999,5,5
8,5,5,5
9,5,5,5
10,5,5,5
