taxize_name,subgroup,calcium,zinc,protein,fat,iron,epa,dha
Pagellus bogaraveo,Finfish,57.333333333333336,0.2916666666666667,21,1.0166666666666666,0.158,0.018,0.21150000000000002
Pecten maximus,Mollusc,93.95,2.25,17.45,0.9,0.8899999999999999,0.105,0.105
Pectinidae,Mollusc,27.6,1.22,14.85,0.85,0.6035,0.19,0.18
Perca flavescens,Finfish,31.381,0.6271293333333333,17.490683333333333,2.873986,0.28531833333333334,3.84852358e-4,0.05650332347
Perca fluviatilis,Finfish,32.47030375,0.52003575,18.14,1.137,0.14150375,0.11807202038461538,0.3217574818461538
Pleuronectes platessa,Finfish,28,0.48,15.9,1.4000000000000001,0.19,0.174054111737828,0.158101627257958
Pollachius virens,Finfish,10,0.38,18.5,0.9125,0.25,0.0718835790676205,0.254163203951155
Pomatomus saltatrix,Finfish,32.9,0.763,20.1,8.166666666666666,2.826,0.748,2.5058
Portunus pelagicus,Crustacean,116.375,3.325,20.935,1.887,0.47000000000000003,0.15424486499999998,0.23469927499999998
Psetta maxima,Finfish,30.5,0.12,17.95,1.324,3.485,0.0941512,0.2685449
Pseudopleuronectes americanus,Finfish,13.2,0.394,18.733333333333334,1.435,0.103,0.07,0.12
Puntius sophore,Finfish,1042,2.9,15.7,7.2,2.2,0.04,0.024
Reinhardtius hippoglossoides,Finfish,5.7,0.31,14.15,10.2,0.095,0.33,0.36
Salmo,Finfish,38,0.4,19,4.71,0.4,0.14902534270229265,0.6458603310126615
Salmo salar,Finfish,13.3,0.5349999999999999,19.966666666666665,11.16,0.7749999999999999,0.36447242097419297,1.921482604870965
Salvelinus alpinus,Finfish,17.75,3.42,20.475,5.85,0.78,0.78,0.69
Salvelinus fontinalis,Finfish,15.48,0.55775,18.142857142857142,3.368333333333333,0.4472,0.112,0.322
Salvelinus namaycush,Finfish,5.366666666666666,0.3775,18.125,7.800000000000001,0.3695,0.086,0.316
Salvelinus naresi,Finfish,96.33333333333333,1.2333333333333334,28.333333333333332,11.225,2.033333333333333,0.55,0.4
