median,lower,upper,culture
0.04208418726288203,0.022986829084696313,0.06349244656904407,CS
0.12484462676504522,0.09104621170811174,0.16100162261984668,CR
0.054889426404830986,0.02479676442565047,0.08942520590698413,II
0.09450803575566906,0.06757938373418287,0.1197097921652556,HA
0.06527118448946881,0.035966432503183404,0.09892584733995177,MN
0.11092550254007162,0.08061856739256926,0.14088306526017194,NO
0.1224784718778407,0.09203167435499289,0.15200119632269152,BC
0.18898147347190378,0.18437164728715077,0.19381121266940682,GL
0.09800122675562603,0.06494408415784562,0.13083023795019239,KW
0.1074276879454576,0.07276548730100581,0.14095135198611075,TS
0.09585627425990143,0.06391057381827671,0.1258917724281554,TL
0.1414951196732682,0.12191630052876476,0.1628763431511106,WA
0.13917493044224713,0.10178417187176882,0.17803928380885162,YU
0.05450827818763972,0.021670377585262135,0.08886060414328503,AB
0.11835256033675372,0.09007591952123661,0.14891658792478982,MI
