FD,replicate
2.590857595773554,1
2.648401480386495,10
2.733299319206381,100
1.290005465233205,1000
2.5438443270193027,101
1.0281160191200998,102
1.5964972030517626,103
0.868535402902511,104
1.6186026212514133,105
2.8956627225911022,106
1.7719454031135735,107
2.8169028800284313,108
1.1917756338086096,109
1.6987439787976806,11
1.707315756002043,110
2.7409250078126193,111
0.8469672613532429,112
2.6990682656719867,113
1.5746283478163876,114
0.7725863163177116,115
1.5357687493066499,116
2.513802836016286,117
2.7715676711413404,118
1.3375818668726185,119
1.603059356182421,12
1.8936918291720577,120
2.780407687153635,121
2.5065601767396095,122
0.6147244094860383,123
1.346637032085861,124
1.1403654994503831,125
0.9161900423080496,126
1.7549540301820916,127
2.7082163996338817,128
2.08028899236437,129
1.6200790234479248,13
3.1518788095502606,130
1.8035079632163353,131
2.5469480910733706,132
2.368644021742859,133
2.2172115818086113,134
1.4647781649060212,135
2.476787487486823,136
2.4318832920161197,137
1.9750520116658352,138
1.5603189469607923,139
1.4812281979942594,14
1.9842454436780896,140
2.3464066914017456,141
3.1625178873075,142
1.5830891468766317,143
1.5189139116479542,144
2.4097514944056697,145
1.0728831830406822,146
1.2682884761825488,147
0.9220450588425988,148
2.4424815050933457,149
1.8401003477394116,15
1.096662791035888,150
2.0127215862756596,151
2.3270990012681616,152
2.7344860837524667,153
1.7568633795471331,154
1.4608151472463264,155
2.50422402890616,156
1.9994644551810112,157
1.4613421462400333,158
1.2802799041268742,159
1.7631575155136747,16
1.012995494593293,160
2.4179639031761644,161
2.7276612098293516,162
1.2349276603079051,163
2.003594561684644,164
1.8892533523474224,165
1.7580280757671407,166
2.7669497622326995,167
2.4266030664401113,168
1.269428843098546,169
2.3091806696856296,17
2.863904871176094,170
2.7505535461548134,171
0.9029811666719699,172
2.035690403534605,173
1.7130797359836172,174
1.6708461947277935,175
2.8392760034491547,176
1.7282549284376976,177
1.7526828907612426,178
1.5138197112080667,179
1.1394703648090547,18
2.804226401461259,180
2.631441709507294,181
2.443913896952397,182
1.204745885272155,183
1.6461448777497107,184
0.810027566030196,185
0.8840789227179316,186
1.5614485910288554,187
1.479645763735475,188
2.079454358452684,189
2.391023962753401,19
1.6596965980072238,190
2.4984663642265392,191
2.839446536418635,192
2.2036566056426463,193
1.495704391099617,194
0.8333588270435937,195
0.8229690207559286,196
2.478504427413512,197
1.101319449614682,198
2.5944488521957747,199
1.1916329842537945,2
1.6651251938491285,20
2.458899133386487,200
2.021845087035281,201
2.785366113007914,202
2.845292644338563,203
1.6446223164333003,204
1.4532354887614232,205
2.357818884057597,206
1.9987292842171775,207
2.3444334997505156,208
1.6513763317815164,209
1.8980378954168997,21
2.0419486695305835,210
2.0415646320023613,211
1.0322886520767847,212
1.6869183509885255,213
1.628160364680207,214
2.836828967019775,215
1.7850233298024754,216
3.1508059158235526,217
1.5405918010899997,218
2.579073055746912,219
2.57767290088409,22
3.0948935156677964,220
2.1406344939355817,221
1.7163194199855814,222
0.8021914745433802,223
2.367209446433374,224
2.7786275203433317,225
2.2395894097517868,226
2.365558959069253,227
1.6782616762914289,228
1.2323091979709224,229
1.983743482793842,23
1.6902366075419022,230
2.563998227287484,231
2.0590329976453696,232
1.6877438202184487,233
2.8324832429603592,234
2.257729737405957,235
1.1005731452425698,236
2.021915888120139,237
2.817285451232104,238
1.6550685817319555,239
2.1220472249962503,24
2.868356523194105,240
1.7281029954988452,241
2.1725428896774535,242
1.3056631844126798,243
1.5960508277463943,244
1.7605339034593168,245
2.0205278139619898,246
2.082346515264588,247
1.4229343277025597,248
2.8573352515960746,249
2.0840968122631516,25
1.9543089783703278,250
1.1170824458190582,251
1.7738192352017566,252
2.882597864707776,253
1.7627245884138185,254
2.0732095656798344,255
2.0909714470952507,256
1.9695066992021701,257
1.6880676452371077,258
1.8586640970321284,259
2.7731698005457264,26
3.002793073338908,260
2.0326123626193775,261
1.8867961046658903,262
2.714332306119519,263
1.1786113030846854,264
2.786403161658787,265
2.63440154686457,266
1.3914958391374035,267
1.2714186863824397,268
2.8665956346968593,269
1.1794298496691078,27
2.316926517448212,270
1.54568400478971,271
2.64672885286493,272
2.853616889604163,273
2.9050289320629346,274
3.2765473880486935,275
2.7692739436996954,276
2.055522235600878,277
2.401930285518128,278
1.1211671109752017,279
1.208901172544372,28
2.6590183714664812,280
1.8228125054954205,281
