genus_species,genus_species_new,subgroup,taxon_common_name,location_of_study,methylmercury,lead,arsenic,cadmium,part,dataset,bibliography,number_of_samples,submitted_name,data_source_title,score,matched_name2
anoplopoma fimbria,Anoplopoma fimbria,finfish,sablefish,US-Alaska,31.6008,NA,NA,NA,NA,karimi,Bloom NS. 1992. On the chemical form of mercury in edible fish and marine invertebrate tissue Can J Fish Aquat Sci 49(5):1010-1017.,9,NA,NA,NA,NA
anoplopoma fimbria,Anoplopoma fimbria,finfish,sablefish,US-Alaska,17.1,NA,NA,NA,NA,karimi,State of Alaska Department of Environmental Conservation. 2009. Total Mercury Concentrations in Alaskan Fishes. Available: http://dec.alaska.gov/eh/docs/vet/metals%2009-11-19.pdf [accessed 26 January 2011].,227,NA,NA,NA,NA
anoplopoma fimbria,Anoplopoma fimbria,finfish,sablefish,US,49.115,NA,NA,NA,NA,karimi,"Teeny FM, Hall AS, Gauglitz EJ. 1974. Reduction of mercury in sablefish (Anoplopoma fimbria) and use of treated flesh in smoked products. Marine Fisheries Review 36(5):15-17.",6,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,seabass-black,US-New York Bight,4.788,NA,NA,NA,NA,karimi,"Deshpande AD, Draxler AFJ, Zdanowicz VS, Schrock ME, Paulson AJ. 2000. Contaminant Levels in Muscle of Four Species of Recreational Fish from the New York Bight Apex. NOAA Technical Memorandum NMFS-NE-157. NMFS-NE-157. Available: http://www.nefsc.noaa.gov/publications/tm/tm157/tm157.pdf [accessed 24 February 2009].",14,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,seabass-black,US-Delaware,6.84,NA,NA,NA,NA,karimi,State of Delaware. 2010. Department of Natural Resources and Environmental Control Open Files. Available: http://www.dnrec.state.de.us/fw/advisory.htm [accessed 29 November 2010].,1,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,seabass-black,US-Virginia,0.475,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,1,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,seabass-black,US-Virginia,5.06130712,NA,NA,NA,NA,karimi,State of Virginia. 2009. Department of Environmental Quality Fish Tissue Results Summary. Available: http://www.deq.state.va.us/fishtissue/fishtissue.html [accessed 21 July 2009].,2,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,seabass-black,US,14.25,NA,NA,NA,NA,karimi,USEPA (U.S. Environmental Protection Agency). 2011a. National Listing of Fish Advisories. Available: http://map1.epa.gov [accessed 14 September 2011].,2,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,NA,US-Florida,16.15,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
centropristis striata,Centropristis striata,finfish,NA,US-Florida,12.35,NA,NA,NA,NA,adams,"Adams, D. H., R. H. McMichael, Jr., and G. E. Henderson. 2003. Mercury levels in marine and estuarine fishes of Florida 1989â€“2001. Florida Marine Research Institute Technical Report TR-9. 2nd ed. rev. 57 pp.",NA,NA,NA,NA,NA
