median,lower,upper,culture
0.09734787483326227,0.0906995709919927,0.10516954264979016,CS
0.173148319619806,0.16251128750710286,0.1830897085471163,CR
0.12854310516638554,0.11930266834398291,0.13858601947729393,II
0.12363118815779968,0.10889298701004585,0.14082237715593085,HA
0.146476570384088,0.14328910851711546,0.14934681452432647,MN
0.1604595520814349,0.15077071374422724,0.16954200719888865,NO
0.17097146703908714,0.16256922113525452,0.18233114866169287,BC
0.24204431647549263,0.22904084216520593,0.257308205433935,GL
0.17490560597695368,0.1616264631391533,0.18957774425333415,KW
0.17438455248580115,0.1568500323949948,0.19483781546922044,TS
0.14495818327433482,0.13238499053486688,0.1571391678996014,TL
0.16412393999364722,0.150959110166402,0.1779646637152286,WA
0.16237168304893448,0.14610348066234186,0.18195264524482857,YU
0.1680426254035798,0.15271934016478195,0.1850469738461929,AB
0.1654876468488992,0.1558473004184038,0.17645136809040665,MI
