number_of_targets,subgroup,number_of_species,sd,se,threshold
1.59791,finfish,1.0,1.2015357126530561,1.2015357126530561,10 percent
2.46166,finfish,2.0,1.2555261079954008,0.8877910249203014,10 percent
3.01036,finfish,3.0,1.2454429660493558,0.7190568317089215,10 percent
3.3972,finfish,4.0,1.209126453216453,0.6045632266082265,10 percent
3.69128,finfish,5.0,1.1548009773346108,0.5164426971606767,10 percent
3.92414,finfish,6.0,1.0891543154995207,0.44464538735401826,10 percent
4.11037,finfish,7.0,1.018193906035733,0.38484112311600244,10 percent
4.26082,finfish,8.0,0.944596130745041,0.33396516476619653,10 percent
4.38472,finfish,9.0,0.8722718212697815,0.2907572737565938,10 percent
4.48626,finfish,10.0,0.8015844545500982,0.2534832613362031,10 percent
4.57163,finfish,11.0,0.7326353189992321,0.22089786011661725,10 percent
4.64196,finfish,12.0,0.6697102683388055,0.19332870185223294,10 percent
4.70099,finfish,13.0,0.6097595739038294,0.16911687764733313,10 percent
4.75036,finfish,14.0,0.5540423630277742,0.1480740500148972,10 percent
4.79217,finfish,15.0,0.5027715374722287,0.12981505277180266,10 percent
4.82727,finfish,16.0,0.4562635519787753,0.11406588799469382,10 percent
4.85642,finfish,17.0,0.41282743109546244,0.10012535903288167,10 percent
4.88048,finfish,18.0,0.3742143369296527,0.08820316508672832,10 percent
4.90084,finfish,19.0,0.33889296670841196,0.07774737866098218,10 percent
4.91746,finfish,20.0,0.3080715785024234,0.06888689914670815,10 percent
4.93166,finfish,21.0,0.2778316330156865,0.06062783279750359,10 percent
4.94368,finfish,22.0,0.2508160415261887,0.05347415972686196,10 percent
4.95337,finfish,23.0,0.2273678958463587,0.04740948357779349,10 percent
4.96163,finfish,24.0,0.20464154485738903,0.041772280422956505,10 percent
4.96826,finfish,25.0,0.18534539629880026,0.03706907925976005,10 percent
4.97368,finfish,26.0,0.16824844925112026,0.032996235610122604,10 percent
4.97852,finfish,27.0,0.15119139588079042,0.029096797703643207,10 percent
4.98271,finfish,28.0,0.13472652824285983,0.02546092062383764,10 percent
4.98622,finfish,29.0,0.12012600011054657,0.022306838214384516,10 percent
4.98871,finfish,30.0,0.10790112291595141,0.019699959667068064,10 percent
4.99102,finfish,31.0,0.09612206819726644,0.017264033090008294,10 percent
4.99301,finfish,32.0,0.08485995470255164,0.015001262355339379,10 percent
4.99431,finfish,33.0,0.07640472679633618,0.013300355744641697,10 percent
4.99551,finfish,34.0,0.06804326710896524,0.011669324037661346,10 percent
4.99642,finfish,35.0,0.060392218639496294,0.010208148107133023,10 percent
4.99719,finfish,36.0,0.05368549824046725,0.008947583040077875,10 percent
4.99791,finfish,37.0,0.04588739430965289,0.00754384115458855,10 percent
4.99835,finfish,38.0,0.040832513674053036,0.006623908396546178,10 percent
4.99878,finfish,39.0,0.035192669481581694,0.00563533719155831,10 percent
4.99905,finfish,40.0,0.031130486521606278,0.004922162103872418,10 percent
4.99929,finfish,41.0,0.026636497424210082,0.004159922006275054,10 percent
4.99949,finfish,42.0,0.022577533024003626,0.003483788979483519,10 percent
4.99959,finfish,43.0,0.020244406594414753,0.003087243062880204,10 percent
4.99972,finfish,44.0,0.016730941373514902,0.002522284314790107,10 percent
4.99979,finfish,45.0,0.01448992752155772,0.0021600308618165407,10 percent
4.99989,finfish,46.0,0.01048756405892231,0.0015463069601472982,10 percent
4.99994,finfish,47.0,0.007745773038890286,0.0011298371184623524,10 percent
4.99995,finfish,48.0,0.00707092638768074,0.001020600313336876,10 percent
4.99997,finfish,49.0,0.005477170801974313,7.824529717106162e-4,10 percent
4.99997,finfish,50.0,0.005477170801974313,7.745889231585996e-4,10 percent
4.99997,finfish,51.0,0.005477170801974313,7.669573190824352e-4,10 percent
4.99999,finfish,52.0,0.0031622776601683794,4.3852900965351464e-4,10 percent
4.99999,finfish,53.0,0.0031622776601683794,4.343722427630694e-4,10 percent
5.0,finfish,54.0,0.0,0.0,10 percent
5.0,finfish,55.0,0.0,0.0,10 percent
5.0,finfish,56.0,0.0,0.0,10 percent
5.0,finfish,57.0,0.0,0.0,10 percent
5.0,finfish,58.0,0.0,0.0,10 percent
5.0,finfish,59.0,0.0,0.0,10 percent
5.0,finfish,60.0,0.0,0.0,10 percent
5.0,finfish,61.0,0.0,0.0,10 percent
5.0,finfish,62.0,0.0,0.0,10 percent
5.0,finfish,63.0,0.0,0.0,10 percent
5.0,finfish,64.0,0.0,0.0,10 percent
5.0,finfish,65.0,0.0,0.0,10 percent
5.0,finfish,66.0,0.0,0.0,10 percent
5.0,finfish,67.0,0.0,0.0,10 percent
5.0,finfish,68.0,0.0,0.0,10 percent
5.0,finfish,69.0,0.0,0.0,10 percent
5.0,finfish,70.0,0.0,0.0,10 percent
5.0,finfish,71.0,0.0,0.0,10 percent
5.0,finfish,72.0,0.0,0.0,10 percent
5.0,finfish,73.0,0.0,0.0,10 percent
5.0,finfish,74.0,0.0,0.0,10 percent
5.0,finfish,75.0,0.0,0.0,10 percent
5.0,finfish,76.0,0.0,0.0,10 percent
5.0,finfish,77.0,0.0,0.0,10 percent
5.0,finfish,78.0,0.0,0.0,10 percent
3.22608,invertebrates,1.0,1.0825523325897588,1.0825523325897588,10 percent
4.13272,invertebrates,2.0,0.8149429691214162,0.5762516997460525,10 percent
4.53529,invertebrates,3.0,0.5967563800092723,0.34453745663898,10 percent
4.7331,invertebrates,4.0,0.4607890116584083,0.23039450582920415,10 percent
4.8419,invertebrates,5.0,0.3677849135805147,0.16447841357298326,10 percent
4.9061,invertebrates,6.0,0.29196513907729543,0.11919426890334987,10 percent
4.94658,invertebrates,7.0,0.2248706500815362,0.08499311675331017,10 percent
4.9711,invertebrates,8.0,0.16752632823143498,0.059229501359865516,10 percent
4.98547,invertebrates,9.0,0.11966211718928799,0.03988737239642933,10 percent
4.99359,invertebrates,10.0,0.07980586187590417,0.02523682941606551,10 percent
4.99776,invertebrates,11.0,0.04727583685190039,0.014254201135255475,10 percent
4.99935,invertebrates,12.0,0.025486937749364044,0.007357445185207283,10 percent
4.99986,invertebrates,13.0,0.011831390443138886,0.0032814373002132205,10 percent
5.0,invertebrates,14.0,0.0,0.0,10 percent
5.0,invertebrates,15.0,0.0,0.0,10 percent
5.0,invertebrates,16.0,0.0,0.0,10 percent
5.0,invertebrates,17.0,0.0,0.0,10 percent
5.0,invertebrates,18.0,0.0,0.0,10 percent
0.63743,finfish,1.0,0.846427882044061,0.846427882044061,25 percent
1.1646,finfish,2.0,1.043291773463802,0.7377186877723938,25 percent
