FD,region,n_species,exp_df
1.607411384557865,Abenaki,29,3.727268803404333
2.9587037655773654,Bella Coola,40,3.8400991397573665
3.0172439225647065,Central Salish,42,3.8054585804317185
1.647237597921246,Cree,27,3.7251842143092673
2.9149478525052066,Haida,36,3.807743779753993
3.2399439935576635,Inuit-Inupiaq,52,3.900002415145021
2.9587037655773654,Kwakiutl,40,3.8400991397573665
3.467402662822869,Micmac,57,3.9141049049862997
1.722128172028093,Montagnais-Naskapi,25,3.7038794425565036
3.6852096953838447,Nootkan,49,3.869397652419528
3.0360582070966045,Tlingit,51,3.8868842267447308
2.959161671937219,Tsimshian,41,3.815073897046887
2.8276427620372564,Wampanoag,35,3.7998703516170176
2.7578186283355097,Yupik,38,3.840673011622951
3.8740352217404297,global_resampled,40,3.8400991397573665
