bibliography,seanuts_id2,genus_species,subgroup,location,ca_mg,fat,fe_mg,protein,zn_mg
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""åÊJournal of Food ScienceåÊ48.1 (1983): 313-314.",1738,Mercenaria mercenaria,Mollusc,"eastern Virginia, USA",32.8,NA,2.46,NA,2.5
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""åÊJournal of Food ScienceåÊ48.1 (1983): 313-314.",1739,Callinectes sapidus,Crustacean,"eastern Virginia, USA",34.4,NA,NA,NA,NA
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""åÊJournal of Food ScienceåÊ48.1 (1983): 313-314.",1740,Crassostrea virginica,Mollusc,"eastern Virginia, USA",61,NA,7.65,NA,82.46
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""åÊJournal of Food ScienceåÊ48.1 (1983): 313-314.",1741,Placopectens magellanicus,Mollusc,"eastern Virginia, USA",9.2,NA,0.1071,NA,1.2187
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1770,Ostrea edulis,Mollusc,Savudrijska vala,236.8,NA,7.79,NA,51
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1771,Ostrea edulis,Mollusc,Vabriga,91.3,NA,4.12,NA,98.5
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1772,Ostrea edulis,Mollusc,Lim Bay,128.3,NA,4.76,NA,40.2
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1773,Ostrea edulis,Mollusc,Brijesta,205.5,NA,5.19,NA,92.8
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1774,Ostrea edulis,Mollusc,Bjejevica,133.6,NA,4.96,NA,61.2
"BilandÅ_i€à, Nina, et al. ""Element differences and evaluation of the dietary intake from farmed oysters and mussels collected at different sites along the Croatian coast of the Adriatic Sea.""åÊJournal of Food Composition and AnalysisåÊ45 (2016): 39-49.",1775,Ostrea edulis,Mollusc,Mali Ston,60.6,NA,3.78,NA,45.7
