culture,page_id,trad_food_id,genus_species,calcium,zinc,iron,epa,dha
Yupik,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Yupik,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Yupik,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Yupik,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Yupik,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Yupik,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Yupik,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Yupik,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Yupik,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Yupik,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Yupik,6404,44,Esox lucius,41.46784615384615,1.416697,0.3053217857142857,0.04492148816666667,0.17025035028571428
Yupik,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Yupik,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Yupik,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Yupik,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Yupik,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Yupik,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Yupik,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Yupik,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Yupik,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Yupik,6388,29,Coregonus artedi,15.975,2.29,0.36,0.095,0.257
Yupik,6388,30,Coregonus autumnalis,30,0.4,1,0.3,0.3
Yupik,6388,31,Coregonus clupeaformis,19.333333333333332,1.19,0.6277777777777778,0.1412857142857143,0.3072857142857143
Yupik,6388,143,Stenodus leucichthys,10,0.3,0.4,0.2,0.2
Yupik,6518,16,Callinectes sapidus,92.66666666666667,2014.27,1.5299999999999998,0.17,0.15
Yupik,6518,19,Cancer magister,49,3.5766666666666667,0.3675,0.219,0.088
Yupik,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Yupik,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Bella Coola,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Bella Coola,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Bella Coola,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Bella Coola,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Bella Coola,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Bella Coola,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Bella Coola,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Bella Coola,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Bella Coola,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Bella Coola,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Bella Coola,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Bella Coola,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Bella Coola,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Bella Coola,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Bella Coola,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Bella Coola,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Bella Coola,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Bella Coola,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Bella Coola,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Bella Coola,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Bella Coola,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Bella Coola,6436,134,Sebastes norvegicus,141,0.683,0.633,0.14,0.07
Bella Coola,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Bella Coola,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Bella Coola,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Bella Coola,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Bella Coola,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Bella Coola,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Bella Coola,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Bella Coola,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Bella Coola,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Bella Coola,6518,16,Callinectes sapidus,92.66666666666667,2014.27,1.5299999999999998,0.17,0.15
Bella Coola,6518,19,Cancer magister,49,3.5766666666666667,0.3675,0.219,0.088
Bella Coola,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Bella Coola,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Central Salish,6406,148,Thymallus arcticus,198,0.7,1,0.10586666666666666,0.25903225806451613
Central Salish,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Central Salish,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Central Salish,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Central Salish,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Central Salish,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Central Salish,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Central Salish,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Central Salish,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Central Salish,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Central Salish,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Central Salish,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Central Salish,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Central Salish,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Central Salish,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Central Salish,6439,71,Mallotus villosus,39,2.3,0.16,0.506150525,0.32961117500000003
Central Salish,6408,38,Cyprinus carpio,44.08904,1.5658613333333333,0.793722,0.1240743894,0.09598600160000001
Central Salish,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Central Salish,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Central Salish,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Central Salish,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Central Salish,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Central Salish,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Central Salish,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Central Salish,6436,134,Sebastes norvegicus,141,0.683,0.633,0.14,0.07
Central Salish,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Central Salish,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Central Salish,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Central Salish,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Central Salish,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Central Salish,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Central Salish,6403,23,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Central Salish,6403,24,Catostomus commersonii,44.8,0.525,0.75,0.1365,0.23399999999999999
Central Salish,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Central Salish,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Central Salish,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Central Salish,6388,29,Coregonus artedi,15.975,2.29,0.36,0.095,0.257
Central Salish,6388,30,Coregonus autumnalis,30,0.4,1,0.3,0.3
Central Salish,6388,31,Coregonus clupeaformis,19.333333333333332,1.19,0.6277777777777778,0.1412857142857143,0.3072857142857143
Central Salish,6388,143,Stenodus leucichthys,10,0.3,0.4,0.2,0.2
Tsimshian,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Tsimshian,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Tsimshian,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Tsimshian,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Tsimshian,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Tsimshian,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Tsimshian,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Tsimshian,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Tsimshian,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Tsimshian,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Tsimshian,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Tsimshian,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Tsimshian,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Tsimshian,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Tsimshian,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Tsimshian,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Tsimshian,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Tsimshian,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Tsimshian,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Tsimshian,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Tsimshian,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Tsimshian,6436,134,Sebastes norvegicus,141,0.683,0.633,0.14,0.07
Tsimshian,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Tsimshian,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Tsimshian,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Tsimshian,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Tsimshian,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Tsimshian,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Tsimshian,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Tsimshian,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Tsimshian,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Tsimshian,6518,16,Callinectes sapidus,92.66666666666667,2014.27,1.5299999999999998,0.17,0.15
Tsimshian,6518,19,Cancer magister,49,3.5766666666666667,0.3675,0.219,0.088
Tsimshian,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Tsimshian,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Haida,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Haida,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Haida,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Haida,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Haida,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Haida,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Haida,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Haida,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Haida,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Haida,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Haida,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Haida,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Haida,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Haida,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Haida,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Haida,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Haida,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Haida,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Haida,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Haida,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Haida,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Haida,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Haida,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Haida,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Haida,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Haida,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Haida,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Haida,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Haida,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Haida,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Haida,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Haida,6508,108,Pectinidae,27.6,1.22,0.6035,0.19,0.18
Tlingit,6406,148,Thymallus arcticus,198,0.7,1,0.10586666666666666,0.25903225806451613
Tlingit,6405,70,Lota lota,42.399411111111114,1.2458366666666667,0.8846668,0.51125,0.6604444444444445
Tlingit,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Tlingit,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Tlingit,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Tlingit,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Tlingit,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Tlingit,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Tlingit,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Tlingit,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Tlingit,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Tlingit,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Tlingit,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Tlingit,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Tlingit,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Tlingit,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Tlingit,6439,71,Mallotus villosus,39,2.3,0.16,0.506150525,0.32961117500000003
Tlingit,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Tlingit,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Tlingit,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Tlingit,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Tlingit,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Tlingit,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Tlingit,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Tlingit,6404,44,Esox lucius,41.46784615384615,1.416697,0.3053217857142857,0.04492148816666667,0.17025035028571428
Tlingit,6436,134,Sebastes norvegicus,141,0.683,0.633,0.14,0.07
Tlingit,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Tlingit,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Tlingit,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Tlingit,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Tlingit,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Tlingit,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Tlingit,6403,23,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Tlingit,6403,24,Catostomus commersonii,44.8,0.525,0.75,0.1365,0.23399999999999999
Tlingit,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Tlingit,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Tlingit,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Tlingit,6388,29,Coregonus artedi,15.975,2.29,0.36,0.095,0.257
Tlingit,6388,30,Coregonus autumnalis,30,0.4,1,0.3,0.3
Tlingit,6388,31,Coregonus clupeaformis,19.333333333333332,1.19,0.6277777777777778,0.1412857142857143,0.3072857142857143
