culture,page_id,trad_food_id,genus_species,calcium,zinc,iron,epa,dha
Tlingit,6388,143,Stenodus leucichthys,10,0.3,0.4,0.2,0.2
Tlingit,6518,16,Callinectes sapidus,92.66666666666667,2014.27,1.5299999999999998,0.17,0.15
Tlingit,6518,19,Cancer magister,49,3.5766666666666667,0.3675,0.219,0.088
Tlingit,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Tlingit,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Tlingit,6507,35,Crassostrea virginica,54.666666666666664,53.24,6.013333333333334,0.15833333333333333,0.14300000000000002
Tlingit,6508,108,Pectinidae,27.6,1.22,0.6035,0.19,0.18
Kwakiutl,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Kwakiutl,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Kwakiutl,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Kwakiutl,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
