user_supplied_name,submitted_name,data_source_title,score,matched_name2
Puntioplites proctozystron,Puntioplites proctozystron,FishBase,0.988,Puntioplites proctozystron
Anarhichas lupus,Anarhichas lupus,FishBase,0.988,Anarhichas lupus
Oreochromis =Tilapia spp,Oreochromis =tilapia spp,FishBase,0.75,Oreochromis
Danio dangila,Danio dangila,FishBase,0.988,Danio dangila
Chanda nama,Chanda nama,FishBase,0.988,Chanda nama
Gudusia chapra,Gudusia chapra,FishBase,0.988,Gudusia chapra
Colisha lalius,Colisha lalius,FishBase,0.988,Colisha lalius
Chela cachius,Chela cachius,FishBase,0.988,Chela cachius
Macrognathus aculeatus,Macrognathus aculeatus,FishBase,0.988,Macrognathus aculeatus
Mastacembelus armatus,Mastacembelus armatus,FishBase,0.988,Mastacembelus armatus
Mastacembelus pancalus,Mastacembelus pancalus,FishBase,0.988,Mastacembelus pancalus
Esomus danricus,Esomus danricus,FishBase,0.988,Esomus danricus
Lepidocephalus guntea,Lepidocephalus guntea,FishBase,0.988,Lepidocephalus guntea
Xenentodon cancila,Xenentodon cancila,FishBase,0.988,Xenentodon cancila
Corica soborna,Corica soborna,FishBase,0.988,Corica soborna
Colisa fasciatus,Colisa fasciatus,FishBase,0.988,Colisa fasciatus
Puntius sophore,Puntius sophore,FishBase,0.988,Puntius sophore
Puntius ticto,Puntius ticto,FishBase,0.988,Puntius ticto
Amblypharyngodon mola,Amblypharyngodon mola,FishBase,0.988,Amblypharyngodon mola
Glossogobius giuris,Glossogobius giuris,FishBase,0.988,Glossogobius giuris
Pseudambassis ranga,Pseudambassis ranga,FishBase,0.988,Pseudambassis ranga
Osteobrama cotio,Osteobrama cotio,FishBase,0.988,Osteobrama cotio
Hyporhamphus limbatus,Hyporhamphus limbatus,FishBase,0.988,Hyporhamphus limbatus
Mystus cavasius,Mystus cavasius,FishBase,0.988,Mystus cavasius
Lepidocephalichthys guntea,Lepidocephalichthys guntea,FishBase,0.988,Lepidocephalichthys guntea
Ailia coila,Ailia coila,FishBase,0.988,Ailia coila
Xenontedon cancila,Xenontedon cancila,FishBase,0.75,Xenentodon cancila
Eleotris fusca,Eleotris fusca,FishBase,0.988,Eleotris fusca
Ompok pabda,Ompok pabda,FishBase,0.988,Ompok pabda
Botia dario,Botia dario,FishBase,0.988,Botia dario
Channa striatus,Channa striatus,FishBase,0.988,Channa striatus
Stolephorus tri,Stolephorus tri,FishBase,0.988,Stolephorus tri
Pennahia argentata,Pennahia argentata,FishBase,0.988,Pennahia argentata
Platycephalus indicus,Platycephalus indicus,FishBase,0.988,Platycephalus indicus
Liza parsia,Liza parsia,FishBase,0.988,Liza parsia
Sillaginopsis panijus,Sillaginopsis panijus,FishBase,0.988,Sillaginopsis panijus
Salvelinus alpinus [naresi],Salvelinus alpinus [naresi],FishBase,0.988,Salvelinus alpinus
Coregonus autumnalis,Coregonus autumnalis,FishBase,0.988,Coregonus autumnalis
Stenodus leucichtys,Stenodus leucichtys,FishBase,0.75,Stenodus leucichthys
Coregonos nasus,Coregonos nasus,FishBase,0.75,Coregonus nasus
Pterodoras granulosus,Pterodoras granulosus,FishBase,0.988,Pterodoras granulosus
Plagioscion squamosissimus,Plagioscion squamosissimus,FishBase,0.988,Plagioscion squamosissimus
Prochilodus lineatus,Prochilodus lineatus,FishBase,0.988,Prochilodus lineatus
Salminus maxillosus,Salminus maxillosus,FishBase,0.988,Salminus maxillosus
Leporinus friderici,Leporinus friderici,FishBase,0.988,Leporinus friderici
Pseudoplatystoma corruscans,Pseudoplatystoma corruscans,FishBase,0.988,Pseudoplatystoma corruscans
Oreochromis mossambicus,Oreochromis mossambicus,FishBase,0.988,Oreochromis mossambicus
Glossogobius giurias,Glossogobius giurias,FishBase,0.75,Glossogobius giuris
Glossogobius giurias,Glossogobius giurias,FishBase,0.75,Glossigobius giuris
Glossogobius giurias,Glossogobius giurias,FishBase,0.75,Glossogabius giuris
Glossogobius giurias,Glossogobius giurias,FishBase,0.75,Glossogobius giurus
Thryssa purava,Thryssa purava,FishBase,0.988,Thryssa purava
Protonibea diacanthus,Protonibea diacanthus,FishBase,0.988,Protonibea diacanthus
Harpadon nehereus,Harpadon nehereus,FishBase,0.988,Harpadon nehereus
Labeo rohita,Labeo rohita,FishBase,0.988,Labeo rohita
Catla catla,Catla catla,FishBase,0.988,Catla catla
Megalops cyprinoides,Megalops cyprinoides,FishBase,0.988,Megalops cyprinoides
Clupea pallasii,Clupea pallasii,FishBase,0.988,Clupea pallasii
Hydrolagus colliei,Hydrolagus colliei,FishBase,0.988,Hydrolagus colliei
Sebastes crameri,Sebastes crameri,FishBase,0.988,Sebastes crameri
Sebastes aleutianus,Sebastes aleutianus,FishBase,0.988,Sebastes aleutianus
Sebastes paucispinis,Sebastes paucispinis,FishBase,0.988,Sebastes paucispinis
Sebastes goodei,Sebastes goodei,FishBase,0.988,Sebastes goodei
Sebastes elongatus,Sebastes elongatus,FishBase,0.988,Sebastes elongatus
Sebastes alutus,Sebastes alutus,FishBase,0.988,Sebastes alutus
Sebastes ruberrimus,Sebastes ruberrimus,FishBase,0.988,Sebastes ruberrimus
Sebastes rosaceus,Sebastes rosaceus,FishBase,0.988,Sebastes rosaceus
Sebastes entomelas,Sebastes entomelas,FishBase,0.988,Sebastes entomelas
Hippoglossoides elassodon,Hippoglossoides elassodon,FishBase,0.988,Hippoglossoides elassodon
Eopsetta jordani,Eopsetta jordani,FishBase,0.988,Eopsetta jordani
Glyptocephalus zachirus,Glyptocephalus zachirus,FishBase,0.988,Glyptocephalus zachirus
Psettichthys melanostictus,Psettichthys melanostictus,FishBase,0.988,Psettichthys melanostictus
Oncorhynchus clarki,Oncorhynchus clarki,FishBase,0.988,Oncorhynchus clarki
Scorpena scrofa,Scorpena scrofa,FishBase,0.75,Scorpaena scrofa
Trigla lucerna,Trigla lucerna,FishBase,0.988,Trigla lucerna
