user_supplied_name,submitted_name,data_source_title,score,matched_name2
Sardinella maderensis,Sardinella maderensis,FishBase,0.988,Sardinella maderensis
Sardinella aurita,Sardinella aurita,FishBase,0.988,Sardinella aurita
Cephalopholis taeniops,Cephalopholis taeniops,FishBase,0.988,Cephalopholis taeniops
Hypomesus pretious,Hypomesus pretious,FishBase,0.75,Hypomesus pretiosus
Oncorhynchus gorbusha,Oncorhynchus gorbusha,FishBase,0.75,Oncorhynchus gorbuscha
Sardinops sagax,Sardinops sagax,FishBase,0.988,Sardinops sagax
Clupea pallasi,Clupea pallasi,FishBase,0.988,Clupea pallasi
Dentex dentex,Dentex dentex,FishBase,0.988,Dentex dentex
Sciaena umbra,Sciaena umbra,FishBase,0.988,Sciaena umbra
Diplodus puntazzo,Diplodus puntazzo,FishBase,0.988,Diplodus puntazzo
Scomber japonicus,Scomber japonicus,FishBase,0.988,Scomber japonicus
Merluccius merluccius,Merluccius merluccius,FishBase,0.988,Merluccius merluccius
Scorppaena scrofa,Scorppaena scrofa,FishBase,0.75,Scorpaena scrofa
Scorpaena porcus,Scorpaena porcus,FishBase,0.988,Scorpaena porcus
Boops boops,Boops boops,FishBase,0.988,Boops boops
Pagelius erythrinus,Pagelius erythrinus,FishBase,0.75,Pagellus erythrinus
Scorpaena scrofa,Scorpaena scrofa,FishBase,0.988,Scorpaena scrofa
Solea solea,Solea solea,FishBase,0.988,Solea solea
Alectis alexandrinus,Alectis alexandrinus,FishBase,0.988,Alectis alexandrinus
Aspitrigla cuculus,Aspitrigla cuculus,FishBase,0.988,Aspitrigla cuculus
Sarpa salpa,Sarpa salpa,FishBase,0.988,Sarpa salpa
Bothus podus,Bothus podus,FishBase,0.75,Bothus podas
Caranx crysos,Caranx crysos,FishBase,0.988,Caranx crysos
Chelon labrosus,Chelon labrosus,FishBase,0.988,Chelon labrosus
Diplodus annularis,Diplodus annularis,FishBase,0.988,Diplodus annularis
Diplodus vulgaris,Diplodus vulgaris,FishBase,0.988,Diplodus vulgaris
Echelus myrus,Echelus myrus,FishBase,0.988,Echelus myrus
Epinephelus coioides,Epinephelus coioides,FishBase,0.988,Epinephelus coioides
Helicolenus dacthlopterus,Helicolenus dacthlopterus,FishBase,0.75,Helicolenus dactylopterus
Lagocepahlus lagocephalus,Lagocepahlus lagocephalus,FishBase,0.75,Lagocephalus lagocephalus
Lithognathus mormyrus,Lithognathus mormyrus,FishBase,0.988,Lithognathus mormyrus
Liza ramada,Liza ramada,FishBase,0.988,Liza ramada
Liza saliens,Liza saliens,FishBase,0.988,Liza saliens
Lophius budegassa,Lophius budegassa,FishBase,0.988,Lophius budegassa
Mycteroperca rubra,Mycteroperca rubra,FishBase,0.988,Mycteroperca rubra
Pagrus caeruleosticuts,Pagrus caeruleosticuts,FishBase,0.75,Pagrus caeruleostictus
Pagrus caeruleosticuts,Pagrus caeruleosticuts,FishBase,0.75,Pagrus coeruleostictus
Solea lascaris,Solea lascaris,FishBase,0.988,Solea lascaris
Phycis phycis,Phycis phycis,FishBase,0.988,Phycis phycis
Saurida undosquamis,Saurida undosquamis,FishBase,0.988,Saurida undosquamis
Sillago sihama,Sillago sihama,FishBase,0.988,Sillago sihama
Sphyraena chrysotaenia,Sphyraena chrysotaenia,FishBase,0.988,Sphyraena chrysotaenia
Sphyraena sphyraena,Sphyraena sphyraena,FishBase,0.988,Sphyraena sphyraena
Spicara maena,Spicara maena,FishBase,0.988,Spicara maena
Trachinotus ovatus,Trachinotus ovatus,FishBase,0.988,Trachinotus ovatus
Umbrina cirrosa,Umbrina cirrosa,FishBase,0.988,Umbrina cirrosa
Upeneus moluccensis,Upeneus moluccensis,FishBase,0.988,Upeneus moluccensis
Trachurus trachurus,Trachurus trachurus,FishBase,0.988,Trachurus trachurus
Limanda aspera,Limanda aspera,FishBase,0.988,Limanda aspera
Pagellus bogaraveo,Pagellus bogaraveo,FishBase,0.988,Pagellus bogaraveo
Psetta maxima,Psetta maxima,FishBase,0.988,Psetta maxima
Sarda orientalis,Sarda orientalis,FishBase,0.988,Sarda orientalis
Spondyliosoma cantharus,Spondyliosoma cantharus,FishBase,0.988,Spondyliosoma cantharus
Zeus faber,Zeus faber,FishBase,0.988,Zeus faber
Anguilla anguilla,Anguilla anguilla,FishBase,0.988,Anguilla anguilla
Phycis blennoides,Phycis blennoides,FishBase,0.988,Phycis blennoides
Pagrus auratus,Pagrus auratus,FishBase,0.988,Pagrus auratus
Chelidonichthys lucerna,Chelidonichthys lucerna,FishBase,0.988,Chelidonichthys lucerna
Atrobucca nibe,Atrobucca nibe,FishBase,0.988,Atrobucca nibe
Sparisoma cretense,Sparisoma cretense,FishBase,0.988,Sparisoma cretense
Trisopterus minutus,Trisopterus minutus,FishBase,0.988,Trisopterus minutus
Oblada melanura,Oblada melanura,FishBase,0.988,Oblada melanura
Arnoglossus laterna,Arnoglossus laterna,FishBase,0.988,Arnoglossus laterna
Katsuwonus pelamis,Katsuwonus pelamis,FishBase,0.988,Katsuwonus pelamis
Somber japonicus,Somber japonicus,FishBase,0.75,Scomber japonicus
Patagonotothen ramsayi,Patagonotothen ramsayi,FishBase,0.988,Patagonotothen ramsayi
Siganus rivulatus,Siganus rivulatus,FishBase,0.988,Siganus rivulatus
Diplodus sargus,Diplodus sargus,FishBase,0.988,Diplodus sargus
Megalaspis cordyla,Megalaspis cordyla,FishBase,0.988,Megalaspis cordyla
Rastrelliger kanagurta,Rastrelliger kanagurta,FishBase,0.988,Rastrelliger kanagurta
Chirocentrus dorab,Chirocentrus dorab,FishBase,0.988,Chirocentrus dorab
Selaroides leptolepis,Selaroides leptolepis,FishBase,0.988,Selaroides leptolepis
Eleutheronema tetradactylum,Eleutheronema tetradactylum,FishBase,0.988,Eleutheronema tetradactylum
Sardinella fimbriata,Sardinella fimbriata,FishBase,0.988,Sardinella fimbriata
Scomberomorus guttatus,Scomberomorus guttatus,FishBase,0.988,Scomberomorus guttatus
Tenualosa macrura,Tenualosa macrura,FishBase,0.988,Tenualosa macrura
Lutjanus johnii,Lutjanus johnii,FishBase,0.988,Lutjanus johnii
Nemipterus japonicus,Nemipterus japonicus,FishBase,0.988,Nemipterus japonicus
Leptomelanosoma indicum,Leptomelanosoma indicum,FishBase,0.988,Leptomelanosoma indicum
Lutjanus argentimaculatus,Lutjanus argentimaculatus,FishBase,0.988,Lutjanus argentimaculatus
Trachinotus blochii,Trachinotus blochii,FishBase,0.988,Trachinotus blochii
Cynoglossus arel,Cynoglossus arel,FishBase,0.988,Cynoglossus arel
Coregonus lavaretus,Coregonus lavaretus,FishBase,0.988,Coregonus lavaretus
Pogonias cromis,Pogonias cromis,FishBase,0.988,Pogonias cromis
Menticirrhus americanus,Menticirrhus americanus,FishBase,0.988,Menticirrhus americanus
Macrodon ancylodon,Macrodon ancylodon,FishBase,0.988,Macrodon ancylodon
Parona signata,Parona signata,FishBase,0.988,Parona signata
Micorpogonias furnieri,Micorpogonias furnieri,FishBase,0.75,Micropogonias furnieri
Huso huso,Huso huso,FishBase,0.988,Huso huso
Oreochromis macrochir,Oreochromis macrochir,FishBase,0.988,Oreochromis macrochir
Tilapia rendalli,Tilapia rendalli,FishBase,0.988,Tilapia rendalli
Mullus surmuletus,Mullus surmuletus,FishBase,0.988,Mullus surmuletus
Pagellus erythrinus,Pagellus erythrinus,FishBase,0.988,Pagellus erythrinus
Pagrus caeruleostictus,Pagrus caeruleostictus,FishBase,0.988,Pagrus caeruleostictus
Dentex maroccanus,Dentex maroccanus,FishBase,0.988,Dentex maroccanus
Epinephelus aeneus,Epinephelus aeneus,FishBase,0.988,Epinephelus aeneus
Serranus scriba,Serranus scriba,FishBase,0.988,Serranus scriba
Lophius piscatorius,Lophius piscatorius,FishBase,0.988,Lophius piscatorius
Scophthalmus rhombus,Scophthalmus rhombus,FishBase,0.988,Scophthalmus rhombus
Platichthys flesus,Platichthys flesus,FishBase,0.988,Platichthys flesus
Microstomus kitt,Microstomus kitt,FishBase,0.988,Microstomus kitt
Molva molva,Molva molva,FishBase,0.988,Molva molva
Molva dypterygia,Molva dypterygia,FishBase,0.988,Molva dypterygia
Pleuronectes platessa,Pleuronectes platessa,FishBase,0.988,Pleuronectes platessa
Pollachius pollachius,Pollachius pollachius,FishBase,0.988,Pollachius pollachius
Brosme brosme,Brosme brosme,FishBase,0.988,Brosme brosme
Micromesistius poutassou,Micromesistius poutassou,FishBase,0.988,Micromesistius poutassou
Eutrigla gurnardus,Eutrigla gurnardus,FishBase,0.988,Eutrigla gurnardus
Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,FishBase,0.988,Lepidorhombus whiffiagonis
Sebastes viviparus,Sebastes viviparus,FishBase,0.988,Sebastes viviparus
Sebastes mentella,Sebastes mentella,FishBase,0.988,Sebastes mentella
Sebastes marinus,Sebastes marinus,FishBase,0.988,Sebastes marinus
Pollachius virens,Pollachius virens,FishBase,0.988,Pollachius virens
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,FishBase,0.988,Reinhardtius hippoglossoides
Brycon orbignyanus,Brycon orbignyanus,FishBase,0.988,Brycon orbignyanus
Pseudoplatystoma coruscans,Pseudoplatystoma coruscans,FishBase,0.988,Pseudoplatystoma coruscans
Piaractus mesopotamicus,Piaractus mesopotamicus,FishBase,0.988,Piaractus mesopotamicus
Anguilla japonica,Anguilla japonica,FishBase,0.988,Anguilla japonica
Gasterochisma melampus,Gasterochisma melampus,FishBase,0.988,Gasterochisma melampus
Isurus oxyrinchus,Isurus oxyrinchus,FishBase,0.988,Isurus oxyrinchus
Lampris guttatus,Lampris guttatus,FishBase,0.988,Lampris guttatus
Lamna nasus,Lamna nasus,FishBase,0.988,Lamna nasus
Xiphias gladius,Xiphias gladius,FishBase,0.988,Xiphias gladius
Tilapia zillii,Tilapia zillii,FishBase,0.988,Tilapia zillii
Lates angustifrons,Lates angustifrons,FishBase,0.988,Lates angustifrons
Stolothrissa tanganicae,Stolothrissa tanganicae,FishBase,0.988,Stolothrissa tanganicae
Limnothrissa miodon,Limnothrissa miodon,FishBase,0.988,Limnothrissa miodon
Atherina boyeri,Atherina boyeri,FishBase,0.988,Atherina boyeri
Pagrus pagrus,Pagrus pagrus,FishBase,0.988,Pagrus pagrus
Trachinus draco,Trachinus draco,FishBase,0.988,Trachinus draco
Trigla lyra,Trigla lyra,FishBase,0.988,Trigla lyra
Brama japonica,Brama japonica,FishBase,0.988,Brama japonica
Pleurogrammus monopterygius,Pleurogrammus monopterygius,FishBase,0.988,Pleurogrammus monopterygius
Rasbora tawarensis,Rasbora tawarensis,FishBase,0.988,Rasbora tawarensis
Clupeoides borneensis,Clupeoides borneensis,FishBase,0.988,Clupeoides borneensis
Henicorhynchus siamensis,Henicorhynchus siamensis,FishBase,0.988,Henicorhynchus siamensis
Thynnichthys thynnoides,Thynnichthys thynnoides,FishBase,0.988,Thynnichthys thynnoides
Anguilla bicolor,Anguilla bicolor,FishBase,0.988,Anguilla bicolor
Mycteroperca acutirostris,Mycteroperca acutirostris,FishBase,0.988,Mycteroperca acutirostris
Opisthonema oglinum,Opisthonema oglinum,FishBase,0.988,Opisthonema oglinum
