species1,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation,reference,nutrient,concentration,AgeMatMin,feeding_level,feeding_mode,bulk_trophic_level,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,log_concentration,log_length,realm
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,ca_mg,6.61,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,1.888583653863595,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,ca_mg,14,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.6390573296152584,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,zn_mg,0.443,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-0.8141855089370014,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,fe_mg,0.139,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-1.973281345851445,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,fe_mg,1.5,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,0.4054651081081644,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,27,protein_g,17.1,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.8390784635086144,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,protein_g,18.3,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.9069010598473755,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,protein_g,16.8,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.8213788864092133,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,27,fat_g,9.1,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.2082744135228043,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,fat_g,3.31,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,1.1969481893889715,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,fat_g,10.8,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,2.379546134130174,5.6131281063880705,freshbrack
Acipenser fulvescens,Acipenser fulvenscens,6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,mn_mg,0.02,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,-3.912023005428146,5.6131281063880705,freshbrack
Acipenser oxyrinchus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,23,fat_g,6,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,1.791759469228055,5.998936561946683,freshbrackmarine
Acipenser oxyrinchus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,23,fapun_all_g,2.1,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,0.7419373447293773,5.998936561946683,freshbrackmarine
Acipenser oxyrinchus,Acipenser oxyrhyncus,6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,55,fapun_all_g,2.55,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,0.9360933591703348,5.998936561946683,freshbrackmarine
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,ca_mg,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5649493574615367,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,zn_mg,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8675005677047231,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,zn_mg,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8675005677047231,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,fe_mg,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35667494393873245,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,protein_g,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7788192719904172,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,protein_g,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7788192719904172,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,27,protein_g,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89591193827178,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,fat_g,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3962446919730587,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,fat_g,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3962446919730587,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,55,fat_g,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9740810260220096,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,27,fat_g,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6418538861723947,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,55,fapun3,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8285518175661483,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,fapun_all_g,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37106368139083207,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,fapun_all_g,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37106368139083207,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,88,mn_mg,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6888794541139363,NA,NA
Acipenser spp.,Acipenser spp.,6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,mn_mg,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6888794541139363,NA,NA
