Food Item ID	Food Item ID	Food Item ID	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	Compiler	Latest revision in version	CA(mg)	FE(mg)	ZN(mg)	F20D5N3(g)	F22D6N3(g)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	Food Item ID_macro
901305	901305	901305	Finfish	"Unknown (samples from a retailer market at Ijmuiden, Netherlands)"	F	13	CLZ		"African catfish, farmed, skinless, bonless fillet, raw"	r	Clarias gariepinus	North African catfish	Clarias gariepinus			5		2007	fi1	DR	1	4.665	0.542	1.074	0.29574	0.57279					16.8				5.7		901305
901309	901309	901309	Finfish	Unknown (samples from Istanbul local fish market)		37	HOM		"Horse mackerel, muscle fillet, raw"	r	Trachurus trachurus	Atlantic horse mackerel	Trachurus trachurus			1		2010	fi3	DR	1										18.55			14.46			901309
901313	901313	901313	Finfish	"Vietnam (samples obtained from four different local seafood stores, Central Coast, New South Wales, Australia)"	F	13	PGS		"Tra catfish, farmed, skinless fillet, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus				FA converted using XFA	2009	fi5	DR	1				0.006932065	0.10599351								2.55			901313
901314	901314	901314	Finfish	"Tasmania (samples obtained from four different local seafood stores, Central Coast, New South Wales, Australia)"	F	23	SAL		"Atlantic salmon, farmed, skinless fillet, frozen"	r	Salmo salar	Atlantic salmon	Salmo salar				FA converted using XFA	2009	fi5	DR	1				0.753592172	1.84069672								9.92			901314
901315	901315	901315	Finfish	Poland	F	13	FPP		"Pike perch, farmed, skinless fillet, raw"	r	Sander lucioperca	Pike-perch	Sander lucioperca	Nov	EDIBLE = fillet yield (vs fish weight)	6		2003	fi7	DR	1				0.1421511	0.3672739					18.81				2.87		901315
901316	901316	901316	Finfish	"Turkey, Agean sea"	F	33	BSS		"Sea bass, farmed, fillet, raw"	r	Dicentrarchus labrax	European seabass	Dicentrarchus labrax	Sep	"mean length and weight of fish: 31cm, 331g"		FA converted using XFA. Aminoacids values were not included (very low or very high values).	2008	fi9	DR	1	61.65	2.577	0.289	0.331604	0.666583255								6.5			901316
901317	901317	901317	Finfish	"Turkey, Agean sea"	F	33	SBG		"Sea bream, farmed, fillet, raw"	r	Sparus aurata	Gilthead seabream	Sparus aurata	Sep	"mean length and weight of fish: 27.3cm, 278g"		FA converted using XFA. Aminoacids values were not included (very low or very high values).	2008	fi9	DR	1	19.515	22.468	0.108	0.29953772	0.790735095								8.1			901317
901318	901318	901318	Finfish	"Turkey, Agean sea"	F	33	DEC		"Common dentex, farmed, fillet, raw"	r	Dentex dentex	Common dentex	Dentex dentex	Sep	"mean length and weight of fish:28.5cm, 540.45g"		FA converted using XFA. Aminoacids values were not included (very low or very high values).	2008	fi9	DR	1	38.1118	5.6663	0.4897	0.090029621	0.239348014								2.29			901318
901319	901319	901319	Finfish	"Iran, Khuzestan"	F	11	SVC		"Silver carp, farmed, fillet, raw"	r	Hypophthalmichthys molitrix	Silver carp	Hypophthalmichthys molitrix	Winter 2009	fish weight: 2300-300g		FA converted using XFA	2010	fi10	DR	1				0.179637778	0.227070225					[17.06]			[10.97]			901319
901323	901323	901323	Finfish	Vietnam (samples obtained from Italian markets)	F	13	PGS 		"Sutchi catfish, boneless skinless fillet, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus			1	FA converted using XFA	2008	fi12	DR	1	8.03			0.009127576	0.042018324			0.03		13.6			1.84			901323
901324	901324	901324	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), fillet, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus					2010	fi13	DR	1										13.8			3.2			901324
901325	901325	901325	Finfish	Vietnam	F	13	PGS	Tra	"Sutchi catfish, farmed (conventionally), skinless fillet, glazed, frozen"	r	Pangasius hypophthalmus	Striped catfish	Pangasius hypophthalmus				FA converted using XFA	2010	fi13	DR	1				0.00717556	0.0743183					13.3			2.9			901325
